SEZIONE,MUNICIPIO,TOTALE,PECORILLI SONIA,ROCCA FRANCESCO,RINALDI ROSA,BIANCHI DONATELLA,D'AMATO ALESSIO,AFFLUENZA
74,3,371,7,96,2,52,214,0.2648108493932905
75,3,451,10,160,5,42,234,0.4447731755424063
76,3,400,5,118,11,54,212,0.41109969167523125
77,3,496,4,130,8,60,294,0.47058823529411764
78,3,290,4,116,6,38,126,0.3431952662721893
79,3,311,7,101,7,52,144,0.3645955451348183
80,3,279,4,95,3,26,151,0.33859223300970875
81,3,386,1,123,6,57,199,0.39711934156378603
82,3,399,4,130,7,35,223,0.40755873340143
83,3,433,5,119,6,47,256,0.4232649071358749
84,3,362,1,106,4,40,211,0.38882921589688507
85,3,430,4,132,5,44,245,0.4079696394686907
86,3,436,6,112,8,46,264,0.4404040404040404
87,3,425,2,138,8,56,221,0.4258517034068136
88,3,367,2,112,4,52,197,0.4137542277339346
89,3,382,4,153,6,43,176,0.4059511158342189
90,3,298,6,101,7,34,150,0.31939978563772775
91,3,356,8,134,4,36,174,0.4
92,3,417,2,150,13,34,218,0.4352818371607516
93,3,303,3,108,4,45,143,0.3202959830866808
94,3,366,2,159,9,56,140,0.39912758996728465
95,3,307,3,129,3,24,148,0.4013071895424837
96,3,384,1,166,0,40,177,0.4106951871657754
97,3,376,1,142,10,41,182,0.41824249165739713
98,3,259,2,133,1,26,97,0.2221269296740995
99,3,370,4,148,9,34,175,0.41294642857142855
100,3,428,2,188,10,44,184,0.4204322200392927
101,3,331,4,129,9,34,155,0.36534216335540837
102,3,398,5,188,4,39,162,0.4487034949267193
103,3,276,5,113,4,30,124,0.3607843137254902
104,3,371,3,175,4,32,157,0.4117647058823529
105,3,355,3,162,2,29,159,0.4246411483253589
106,3,304,3,157,2,29,113,0.37300613496932516
107,3,397,3,182,4,45,163,0.40885684860968075
108,3,360,2,163,1,38,156,0.39215686274509803
109,3,243,2,96,4,51,90,0.29347826086956524
110,3,188,3,73,4,38,70,0.24769433465085638
111,3,244,3,102,5,41,93,0.31362467866323906
112,3,204,4,75,5,35,85,0.24028268551236748
113,3,186,7,62,2,39,76,0.22142857142857142
114,3,367,4,163,4,46,150,0.31049069373942473
115,3,288,8,120,2,42,116,0.29844559585492225
116,3,255,4,111,4,45,91,0.2522255192878338
117,3,243,6,104,0,51,82,0.2387033398821218
118,3,260,4,116,5,42,93,0.24528301886792453
119,3,227,1,94,1,54,77,0.23769633507853402
