SEZIONE,DANIELE RINALDI,MAURO CALISTE,TOTALE,AFFLUENZA,MUNICIPIO
629,83.0,101.0,184.0,0.37627811860940696,5
630,134.0,184.0,318.0,0.3315954118873827,5
631,187.0,189.0,376.0,0.3900414937759336,5
632,98.0,133.0,231.0,0.42463235294117646,5
633,121.0,144.0,265.0,0.3885630498533724,5
634,136.0,146.0,282.0,0.3745019920318725,5
635,168.0,207.0,375.0,0.4315304948216341,5
636,155.0,167.0,322.0,0.4112388250319285,5
637,118.0,185.0,303.0,0.44756277695716395,5
638,110.0,214.0,324.0,0.47230320699708456,5
639,107.0,212.0,319.0,0.5616197183098591,5
640,165.0,189.0,354.0,0.5307346326836582,5
641,114.0,172.0,286.0,0.37142857142857144,5
642,140.0,189.0,329.0,0.5069337442218799,5
643,116.0,130.0,246.0,0.42487046632124353,5
657,192.0,227.0,419.0,0.4103819784524976,5
658,102.0,103.0,205.0,0.3295819935691318,5
659,106.0,128.0,234.0,0.3540090771558245,5
660,112.0,97.0,209.0,0.32965299684542587,5
661,174.0,146.0,320.0,0.3489640130861505,5
662,230.0,207.0,437.0,0.4016544117647059,5
663,150.0,199.0,349.0,0.4072345390898483,5
664,153.0,143.0,296.0,0.37515842839036756,5
665,206.0,167.0,373.0,0.42873563218390803,5
666,211.0,156.0,367.0,0.42526071842410196,5
667,190.0,159.0,349.0,0.4214975845410628,5
668,196.0,227.0,423.0,0.3656006914433881,5
669,178.0,240.0,418.0,0.3980952380952381,5
670,202.0,213.0,415.0,0.38073394495412843,5
671,181.0,169.0,350.0,0.41031652989449,5
672,212.0,175.0,387.0,0.3760932944606414,5
673,196.0,173.0,369.0,0.4231651376146789,5
674,156.0,133.0,289.0,0.36628643852978454,5
675,167.0,140.0,307.0,0.3293991416309013,5
676,153.0,171.0,324.0,0.36486486486486486,5
696,102.0,103.0,205.0,0.39883268482490275,5
920,123.0,229.0,352.0,0.4450063211125158,5
921,139.0,245.0,384.0,0.48854961832061067,5
922,88.0,208.0,296.0,0.4065934065934066,5
923,115.0,177.0,292.0,0.3956639566395664,5
924,127.0,197.0,324.0,0.48214285714285715,5
925,115.0,177.0,292.0,0.3758043758043758,5
926,84.0,123.0,207.0,0.3399014778325123,5
927,58.0,149.0,207.0,0.33014354066985646,5
928,90.0,163.0,253.0,0.37592867756315007,5
929,72.0,151.0,223.0,0.40693430656934304,5
930,159.0,186.0,345.0,0.3484848484848485,5
932,178.0,302.0,480.0,0.42402826855123676,5
933,120.0,190.0,310.0,0.3959131545338442,5
934,124.0,140.0,264.0,0.43492586490939045,5
935,142.0,319.0,461.0,0.40724381625441697,5
937,45.0,154.0,199.0,0.3856589147286822,5
938,61.0,156.0,217.0,0.3569078947368421,5
939,47.0,110.0,157.0,0.36342592592592593,5
940,62.0,159.0,221.0,0.43503937007874016,5
1090,80.0,102.0,182.0,0.284375,5
2524,134.0,129.0,263.0,0.3497340425531915,5
2573,2.0,3.0,5.0,0.3333333333333333,5
