LISTA,CANDIDATO
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,TIZIANA ROSATI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CARLA SALVATORE
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PAOLO SANTONI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIUSEPPE TOMASI
RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,SUSANNA VENANZONI
GIORGIA MELONI FRATELLI D'ITALIA,CHRISTIAN BELLUZZO
GIORGIA MELONI FRATELLI D'ITALIA,FLORINDA ARCANGELI
GIORGIA MELONI FRATELLI D'ITALIA,LUCA ARIOLI
GIORGIA MELONI FRATELLI D'ITALIA,ENZO BLASI
GIORGIA MELONI FRATELLI D'ITALIA,SILVANA BRANNETTI
GIORGIA MELONI FRATELLI D'ITALIA,OMBRETTA BRUGIOTTI
GIORGIA MELONI FRATELLI D'ITALIA,LORENZO CAMMILLUZZI
GIORGIA MELONI FRATELLI D'ITALIA,GIULIA CRIALESE
GIORGIA MELONI FRATELLI D'ITALIA,DANILA DAMIA
GIORGIA MELONI FRATELLI D'ITALIA,DAVIDE DI CLEMENTE
GIORGIA MELONI FRATELLI D'ITALIA,FRANCESCO GIUSEPPE DI MATTEO
GIORGIA MELONI FRATELLI D'ITALIA,ANDREA FICO
GIORGIA MELONI FRATELLI D'ITALIA,ROBERTO FRASCA
GIORGIA MELONI FRATELLI D'ITALIA,VITTORIA MENNITI
GIORGIA MELONI FRATELLI D'ITALIA,MARILENA NOCE
GIORGIA MELONI FRATELLI D'ITALIA,WALTER PACIFICI
GIORGIA MELONI FRATELLI D'ITALIA,FABIO PIATTONI
GIORGIA MELONI FRATELLI D'ITALIA,MONICA PIETROPAOLO
GIORGIA MELONI FRATELLI D'ITALIA,AGOSTINO PLATANIA
GIORGIA MELONI FRATELLI D'ITALIA,PIERPAOLO PROIETTI PANATTA
GIORGIA MELONI FRATELLI D'ITALIA,MONICA SELVA
GIORGIA MELONI FRATELLI D'ITALIA,SIMONE SILVI
GIORGIA MELONI FRATELLI D'ITALIA,ROBERTO TONTI
GIORGIA MELONI FRATELLI D'ITALIA,LORENA VINZI
LISTA CIVICA MICHETTI SINDACO,ROBERTO BOMBACIGNO
LISTA CIVICA MICHETTI SINDACO,ANGELO DEMA
LISTA CIVICA MICHETTI SINDACO,FABRIZIO DI MARTINO
LISTA CIVICA MICHETTI SINDACO,GABRIELE GALLUCCI
LISTA CIVICA MICHETTI SINDACO,ALESSIO GROSSI
LISTA CIVICA MICHETTI SINDACO,BARBARA MARCOLIN
LISTA CIVICA MICHETTI SINDACO,PAOLO MESITI
LISTA CIVICA MICHETTI SINDACO,PATRIC MURATORI
LISTA CIVICA MICHETTI SINDACO,ANGELA PALMIERI
LISTA CIVICA MICHETTI SINDACO,ORLANDO MICHELE ENRICO PANICCIA
LISTA CIVICA MICHETTI SINDACO,TIZIANA PINCI
LISTA CIVICA MICHETTI SINDACO,RAFFAELE RENNELLA
LISTA CIVICA MICHETTI SINDACO,GIANPAOLO ROCCAMENA
LISTA CIVICA MICHETTI SINDACO,FEDERICA ROSSI
LISTA CIVICA MICHETTI SINDACO,PATRIZIA SORRENTINO
LISTA CIVICA MICHETTI SINDACO,ROSALIA VULLO
LISTA CIVICA MICHETTI SINDACO,SANDRA ZAMMATARO
LISTA CIVICA MICHETTI SINDACO,ALESSIO ZUCHI
CALENDA SINDACO,MARIA CARIDI
CALENDA SINDACO,ETTORE LUTTAZI
CALENDA SINDACO,KARIM ABO ABBAS
CALENDA SINDACO,SIMONE ANTONELLI
CALENDA SINDACO,FRANCESCO ROSARIO BARRECA
CALENDA SINDACO,ALESSANDRO BICA
CALENDA SINDACO,ALESSANDRO CAMPIOTTI
CALENDA SINDACO,GIULIA CANDELORI
CALENDA SINDACO,RENATO GARGIULO
CALENDA SINDACO,LAVINIA GIAMPICCOLO
CALENDA SINDACO,MARCO LEONETTI
CALENDA SINDACO,SERAFINA MARESCA
CALENDA SINDACO,MARIA MARINO
CALENDA SINDACO,GIUSEPPE KARL MASTRANTONIO
CALENDA SINDACO,ROBERTA MOSETTI
CALENDA SINDACO,MARICA NOBILI
CALENDA SINDACO,MATTIA NOVEMBRINI
CALENDA SINDACO,IRENE PACIFICO
CALENDA SINDACO,ALESSANDRO PAPI
CALENDA SINDACO,CARLO PICIOCCHI
CALENDA SINDACO,MADDALENA PRESENZA
CALENDA SINDACO,WILLIAM RITACCO
CALENDA SINDACO,FILOMENA SANTORO
CALENDA SINDACO,FABIO SICILIANO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,GIORDANO DI VETTA
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FLAVIANA CELIO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,STEFANO ANTONELLI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FLAVIA SCIFONI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,STEFANO CIRULLI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,GINA NARMUCCI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,GIULIO MATTONE
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ELEONORA PIOL
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,EMANUELE MORGILLO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SIMONA SARACENO
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,DARIO CURTI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,VALENTINA CIPRIANI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,EMANUELE DE GASPERIS
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LOREDANA VALENTINI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ANGELO COPPOTELLI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,GIOVANNI DOTTORINI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SIMONE MARIANI
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FABRIZIO FIALE
EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,MARCO DI LUIGI
LISTA CIVICA GUALTIERI SINDACO,MAURO FERRARI
