SEZIONE,POTERE AL POPOLO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,PARTITO COMUNISTA MARCO RIZZO,CALENDA SINDACO,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,TOTALE,MUNICIPIO,AFFLUENZA
1455,6,0,4,105,3,0,0,7,5,7,130,33,9,48,5,23,10,66,44,21,5,1,532,12,0.5911111111111111
1456,3,3,5,73,0,1,1,5,15,12,72,23,0,30,5,15,7,50,29,18,6,2,375,12,0.5357142857142857
1457,7,2,6,82,0,2,2,9,2,4,79,30,3,37,9,18,10,69,32,42,4,3,452,12,0.576530612244898
1458,3,0,2,83,7,1,1,8,3,13,114,36,3,45,14,19,9,77,46,24,7,1,516,12,0.5746102449888641
1459,1,0,6,116,3,0,0,10,0,17,112,27,10,39,13,24,10,94,45,17,23,5,572,12,0.5807106598984771
1460,1,7,1,119,1,0,0,7,4,10,83,23,9,41,6,21,10,75,35,30,11,4,498,12,0.5665529010238908
1461,0,0,1,48,0,1,0,1,2,4,74,11,2,23,7,14,11,49,14,14,6,0,282,12,0.5290806754221389
1462,1,0,6,92,0,0,1,6,3,10,101,24,11,23,0,26,11,88,29,16,7,0,455,12,0.5963302752293578
1463,1,0,1,85,0,2,0,4,9,10,101,25,3,40,7,14,11,65,30,12,5,3,428,12,0.5370138017565872
1464,0,0,3,107,0,2,0,7,1,7,99,33,4,33,8,15,6,78,14,10,15,0,442,12,0.6378066378066378
