SEZIONE,PARTITO COMUNISTA MARCO RIZZO,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,LIBERISTI ITALIANI,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,REVOLUZIONE CIVICA,CALENDA SINDACO,POTERE AL POPOLO,TOTALE,MUNICIPIO,AFFLUENZA
2332,1,49,0,6,5,6,2,10,4,3,25,47,6,13,0,0,0,0,27,5,209,14,0.4523809523809524
2333,1,60,4,11,14,3,3,13,4,4,13,54,23,16,1,0,1,2,24,0,251,14,0.43275862068965515
2334,4,48,8,16,8,6,4,4,8,4,17,41,11,10,0,0,4,2,32,3,230,14,0.46184738955823296
2335,7,38,11,12,11,4,7,7,10,2,12,117,11,14,1,0,2,1,31,1,299,14,0.5620300751879699
2347,3,69,18,7,9,4,4,49,18,10,45,165,61,34,1,0,0,1,48,1,547,14,0.45020576131687245
2348,8,103,2,21,13,12,8,38,11,6,37,126,57,30,0,0,0,0,25,8,505,14,0.42544229149115415
2349,11,66,11,18,7,10,3,15,20,17,35,96,57,45,0,3,1,1,36,4,456,14,0.5547445255474452
2351,4,67,2,15,13,0,0,17,7,7,16,65,35,23,0,0,1,0,25,0,297,14,0.4136490250696379
2352,1,43,2,11,5,3,2,9,7,1,24,51,41,37,0,0,1,0,19,1,258,14,0.4822429906542056
2354,2,75,1,20,16,4,5,11,9,4,18,52,20,8,3,0,3,0,84,2,337,14,0.4759887005649718
2355,3,106,5,25,42,6,6,26,12,17,28,101,27,10,0,0,0,0,86,4,504,14,0.5922444183313749
2356,79,56,10,17,24,4,8,17,4,15,21,106,12,13,1,0,1,0,80,1,469,14,0.6577840112201964
2357,1,100,7,22,27,11,11,16,7,7,24,71,17,11,0,0,0,2,83,2,419,14,0.5283732660781841
2358,2,81,1,22,19,7,5,22,16,11,30,90,10,7,1,1,3,2,114,4,448,14,0.5378151260504201
2366,3,62,0,20,1,10,4,29,10,82,8,31,20,15,1,2,1,1,131,0,431,14,0.5448798988621998
2367,4,103,6,29,12,9,2,20,11,8,34,78,32,21,2,1,3,0,47,3,425,14,0.5214723926380368
2368,6,112,9,42,14,9,12,20,12,7,24,91,27,20,3,3,0,0,81,3,495,14,0.5618615209988649
2369,4,98,3,31,20,5,12,23,9,4,21,141,26,16,0,0,4,1,61,3,482,14,0.5233441910966341
2370,5,67,1,17,13,7,4,9,4,7,22,75,19,15,0,0,2,4,20,5,296,14,0.46177847113884557
2371,4,76,10,15,22,4,12,8,7,8,51,67,30,20,0,0,1,0,41,5,381,14,0.5026385224274407
2372,3,68,6,17,16,6,10,9,9,7,33,125,33,14,0,2,3,1,25,8,395,14,0.49436795994993743
2373,6,98,14,25,26,10,4,11,10,13,23,94,46,27,1,2,5,1,91,9,516,14,0.5180722891566265
2374,5,74,6,11,23,4,3,9,3,3,35,47,43,17,0,0,3,1,49,6,342,14,0.4196319018404908
2375,0,59,3,35,19,7,3,12,5,12,34,85,29,19,0,1,0,0,53,8,384,14,0.47116564417177914
2376,5,73,7,20,9,7,1,10,7,9,47,86,32,9,1,0,2,0,47,1,373,14,0.5095628415300546
2377,2,74,3,27,16,4,11,19,8,11,33,52,32,25,1,2,2,1,32,7,362,14,0.48721399730820997
2378,0,79,5,32,13,6,9,14,5,13,25,73,27,22,1,4,3,0,44,4,379,14,0.542203147353362
2379,7,77,3,18,15,3,4,12,10,4,52,83,36,15,0,1,2,1,43,2,388,14,0.521505376344086
2380,3,122,4,21,16,14,6,10,6,2,21,49,31,10,0,1,1,4,29,6,356,14,0.5100286532951289
2381,0,79,2,21,167,12,8,9,6,6,26,68,41,18,0,0,6,0,25,16,510,14,0.5466237942122186
2382,1,24,2,5,2,3,5,19,10,4,29,53,18,21,0,0,3,1,14,1,215,14,0.37653239929947463
2383,1,191,5,9,2,1,0,33,15,8,37,65,44,39,0,1,0,0,16,0,467,14,0.39609838846480067
2384,6,102,6,16,2,1,23,26,24,6,32,80,47,31,0,1,4,0,35,3,445,14,0.3941541186891054
2385,3,97,7,36,11,4,5,44,18,2,41,114,53,48,0,12,6,0,24,2,527,14,0.46026200873362444
2386,1,48,3,14,3,8,4,16,12,7,16,91,54,60,1,0,2,0,16,3,359,14,0.4680573663624511
2387,3,82,2,18,4,5,7,18,7,12,34,106,40,45,1,2,2,1,22,1,412,14,0.4067127344521224
2388,1,73,0,21,8,5,3,9,10,17,18,101,38,21,1,1,0,5,10,2,344,14,0.43489254108723135
2389,2,87,7,23,9,4,2,23,18,16,40,89,38,37,0,0,1,1,27,2,426,14,0.3992502343017807
2390,3,101,3,29,9,4,6,18,28,15,35,87,45,46,0,1,3,2,17,2,454,14,0.4651639344262295
2391,2,93,4,18,11,3,8,21,10,6,26,133,54,52,1,0,3,1,18,3,467,14,0.4393226716839135
2392,3,102,5,24,7,3,5,26,10,6,47,122,51,50,0,1,3,0,28,2,495,14,0.4656632173095014
2393,7,123,8,53,27,12,2,31,21,8,34,126,70,67,0,7,10,2,42,1,651,14,0.5271255060728745
2394,7,58,10,20,12,9,5,11,12,4,24,65,56,32,2,0,0,0,24,5,356,14,0.3531746031746032
2395,2,96,4,30,8,9,5,18,17,10,32,78,43,53,0,1,10,0,33,2,451,14,0.46639089968976216
2396,5,104,8,29,9,8,1,24,6,5,27,85,71,40,0,2,1,0,30,4,459,14,0.47614107883817425
2397,4,35,9,12,3,3,8,7,14,5,16,67,40,21,0,1,2,1,15,2,265,14,0.44166666666666665
2398,8,72,5,27,16,5,2,9,14,13,29,73,41,41,1,0,4,3,44,3,410,14,0.4638009049773756
