SEZIONE,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,REVOLUZIONE CIVICA,POTERE AL POPOLO,CALENDA SINDACO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,AURELIO IN COMUNE - EUROPA VERDE ECOLOGISTA - ROMA FUTURA,TOTALE,MUNICIPIO,AFFLUENZA
2065,33,19,0,0,0,1,26,52,163,13,46,7,4,0,22,58,3,447,13,0.522196261682243
2066,32,32,4,3,0,4,22,33,90,13,28,2,4,1,17,53,13,351,13,0.37142857142857144
2067,28,39,1,1,1,2,55,97,181,19,20,13,8,3,22,82,13,585,13,0.5122591943957968
2076,83,58,1,8,1,10,34,40,145,20,53,13,5,17,21,90,7,606,13,0.5952848722986247
2077,64,55,2,3,2,3,35,62,121,17,45,14,2,0,26,87,1,539,13,0.42811755361397935
2086,62,54,1,6,0,4,44,46,112,15,19,11,3,2,14,95,10,498,13,0.5112936344969199
2087,52,29,1,3,1,1,22,44,74,21,33,7,4,2,17,83,13,407,13,0.4987745098039216
2088,66,49,3,6,0,6,31,51,62,11,14,4,6,3,21,98,13,444,13,0.4572605561277034
2089,45,36,2,1,0,1,21,39,80,9,31,26,2,4,22,116,5,440,13,0.49272116461366183
2090,47,26,0,8,0,3,44,41,135,6,11,4,2,8,17,72,12,436,13,0.4960182025028441
2091,25,37,1,4,2,1,37,66,73,16,28,8,3,2,7,101,0,411,13,0.51375
2092,42,35,1,2,0,1,21,45,68,16,26,10,5,4,17,100,4,397,13,0.4465691788526434
2093,31,28,1,4,0,3,24,65,55,7,22,8,0,2,15,74,5,344,13,0.4159613059250302
2094,59,38,3,4,2,4,28,28,87,8,10,20,3,2,21,71,8,396,13,0.4981132075471698
2095,50,38,0,11,1,4,41,95,93,16,20,10,4,2,22,115,17,539,13,0.5268817204301075
2096,57,45,0,7,0,4,14,142,76,8,20,8,3,6,14,98,15,517,13,0.5083579154375615
2097,12,18,4,0,1,0,12,45,82,9,15,4,3,7,7,39,0,258,13,0.45263157894736844
2098,29,28,0,1,3,5,25,43,98,9,27,2,3,2,20,57,1,353,13,0.49232914923291493
2246,29,19,1,2,2,3,27,30,73,4,23,5,8,1,18,55,14,314,13,0.47575757575757577
2247,35,22,0,7,2,4,37,33,49,4,26,3,5,2,17,50,22,318,13,0.4642335766423358
2248,39,21,3,10,1,1,43,25,55,8,38,10,6,1,14,56,15,346,13,0.45287958115183247
2249,3,12,0,0,0,0,23,22,69,6,24,5,6,4,8,52,2,236,13,0.37942122186495175
2252,21,17,1,2,2,1,22,18,53,6,14,3,2,9,13,72,10,266,13,0.45315161839863716
2259,29,24,1,6,2,5,40,32,69,8,21,3,9,1,21,66,17,354,13,0.45618556701030927
2260,25,27,2,1,0,3,47,15,76,6,22,5,7,3,12,48,20,319,13,0.5264026402640264
2261,16,14,3,3,0,2,31,19,57,8,46,1,10,2,16,36,21,285,13,0.44952681388012616
2262,32,30,8,4,0,2,34,35,82,3,25,12,7,11,17,56,13,371,13,0.5870253164556962
2263,26,26,8,7,0,5,43,31,109,5,14,6,9,1,23,66,13,392,13,0.5355191256830601
2264,25,10,0,10,1,3,44,16,50,15,33,3,8,49,3,20,14,304,13,0.5126475548060708
2265,34,27,2,5,3,6,43,30,56,8,23,8,9,8,16,82,14,374,13,0.5026881720430108
2266,32,18,1,4,0,1,37,45,66,4,19,2,8,6,12,54,28,337,13,0.5257410296411856
2267,29,15,4,6,0,7,33,33,60,7,18,1,7,4,9,50,15,298,13,0.4901315789473684
2268,20,17,2,3,1,0,33,27,50,4,11,6,7,3,13,32,22,251,13,0.4490161001788909
2269,24,11,2,5,1,4,50,39,84,6,19,3,10,4,6,31,30,329,13,0.5465116279069767
2270,20,17,4,2,0,0,36,51,57,7,23,13,5,4,13,31,24,307,13,0.5203389830508475
2291,31,20,0,4,1,3,42,16,81,6,21,6,3,9,25,108,4,380,13,0.5114401076716016
2292,28,14,0,6,0,2,54,32,58,9,30,5,6,5,22,58,11,340,13,0.5190839694656488
2293,20,12,0,2,2,2,45,27,50,17,22,0,3,13,16,73,15,319,13,0.5161812297734628
2294,36,19,0,7,2,4,29,10,68,14,13,5,5,5,14,68,10,309,13,0.49203821656050956
2340,27,15,0,3,0,7,7,53,70,0,25,9,1,5,7,21,7,257,13,0.3161131611316113
2341,32,33,0,4,1,1,17,42,70,6,20,4,1,0,12,0,1,244,13,0.29865361077111385
2342,48,34,0,8,0,7,34,35,72,14,12,8,4,8,5,49,2,340,13,0.397196261682243
2343,16,9,0,3,2,1,7,13,39,4,10,2,1,5,6,13,1,132,13,0.27848101265822783
2344,34,21,3,3,0,3,37,19,63,20,17,5,14,14,14,52,9,328,13,0.4719424460431655
2345,52,34,3,3,1,3,49,62,112,25,38,10,4,13,17,62,10,498,13,0.4628252788104089
2346,54,38,0,8,1,2,24,144,79,40,26,11,12,5,7,81,3,535,13,0.5209347614410905
2533,27,14,1,5,0,3,20,16,46,8,9,3,5,7,10,35,11,220,13,0.3328290468986384
2547,72,21,0,5,1,6,101,37,107,9,66,6,13,14,25,86,15,584,13,0.48384424192212094
2550,54,35,1,1,2,7,32,58,116,15,29,17,7,1,13,82,16,486,13,0.4959183673469388
2586,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,13,
2594,1,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,0,7,13,
2595,2,1,0,1,1,1,2,4,1,1,2,2,0,3,3,2,0,26,13,0.33766233766233766
2596,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,13,
