SEZIONE,DANILO BALLANTI,FRANCESCA SEVERI,MARTA MONDAZZI,GABRIELE LAGO,TATIANA MELARAGNI,ELIO TOMASSETTI,PIETRANGELO MASSARO,ALESSANDRO GALLETTI,MASSIMO BOSCHI,FRANCESCA ANNA PERRI,GIULIA PEZZELLA,TOTALE,AFFLUENZA
1464,3.0,115.0,0.0,2.0,0.0,154.0,146.0,40.0,0.0,0.0,0.0,460.0,0.6637806637806638
1465,0.0,138.0,0.0,0.0,0.0,185.0,155.0,63.0,0.0,0.0,1.0,542.0,0.5878524945770065
1466,1.0,97.0,2.0,0.0,0.0,215.0,145.0,72.0,2.0,8.0,1.0,543.0,0.5953947368421053
1467,2.0,98.0,0.0,1.0,0.0,142.0,85.0,34.0,0.0,1.0,0.0,363.0,0.6258620689655172
1885,1.0,122.0,1.0,1.0,0.0,158.0,239.0,80.0,1.0,8.0,1.0,612.0,0.5045342126957956
1886,3.0,91.0,3.0,1.0,2.0,161.0,180.0,86.0,1.0,1.0,1.0,530.0,0.42536115569823435
1887,6.0,62.0,0.0,4.0,1.0,195.0,121.0,87.0,2.0,6.0,2.0,486.0,0.759375
1888,4.0,28.0,2.0,1.0,1.0,144.0,100.0,61.0,2.0,2.0,3.0,348.0,0.498567335243553
1889,6.0,60.0,11.0,3.0,0.0,306.0,141.0,61.0,0.0,1.0,2.0,591.0,0.6247357293868921
1890,2.0,68.0,3.0,2.0,0.0,140.0,115.0,34.0,1.0,2.0,1.0,368.0,0.5508982035928144
1891,1.0,44.0,1.0,2.0,1.0,162.0,110.0,49.0,1.0,4.0,0.0,375.0,0.6038647342995169
1892,6.0,24.0,1.0,0.0,0.0,119.0,95.0,60.0,0.0,3.0,1.0,309.0,0.47320061255742724
1893,5.0,52.0,0.0,3.0,0.0,206.0,130.0,57.0,1.0,4.0,0.0,458.0,0.5016429353778752
1894,6.0,45.0,1.0,1.0,0.0,163.0,144.0,50.0,0.0,2.0,0.0,412.0,0.5643835616438356
1895,5.0,77.0,1.0,0.0,0.0,230.0,196.0,92.0,1.0,9.0,4.0,615.0,0.6556503198294243
1896,9.0,48.0,1.0,0.0,0.0,145.0,149.0,95.0,0.0,6.0,1.0,454.0,0.5159090909090909
1897,4.0,39.0,1.0,3.0,0.0,187.0,96.0,54.0,1.0,4.0,1.0,390.0,0.499359795134443
1898,4.0,30.0,0.0,1.0,0.0,131.0,128.0,81.0,2.0,4.0,0.0,381.0,0.5114093959731544
1899,8.0,62.0,0.0,2.0,0.0,267.0,143.0,113.0,1.0,5.0,3.0,604.0,0.586977648202138
1900,5.0,75.0,0.0,0.0,0.0,195.0,119.0,56.0,3.0,2.0,0.0,455.0,0.5963302752293578
1901,7.0,46.0,5.0,1.0,0.0,187.0,116.0,79.0,2.0,0.0,3.0,446.0,0.5156069364161849
1902,4.0,41.0,0.0,0.0,0.0,154.0,112.0,43.0,0.0,2.0,1.0,357.0,0.49377593360995853
1903,6.0,36.0,3.0,1.0,0.0,164.0,92.0,54.0,0.0,2.0,0.0,358.0,0.4897400820793434
1904,5.0,32.0,0.0,0.0,0.0,193.0,70.0,43.0,0.0,2.0,0.0,345.0,0.4637096774193548
1905,4.0,96.0,1.0,0.0,0.0,157.0,163.0,51.0,0.0,5.0,1.0,478.0,0.6143958868894601
1906,2.0,102.0,0.0,1.0,1.0,143.0,118.0,56.0,0.0,2.0,0.0,425.0,0.49361207897793263
1907,2.0,54.0,4.0,0.0,0.0,141.0,132.0,57.0,1.0,5.0,2.0,398.0,0.5702005730659025
1908,7.0,74.0,1.0,2.0,0.0,179.0,151.0,53.0,1.0,5.0,3.0,476.0,0.5396825396825397
1910,8.0,31.0,0.0,0.0,0.0,199.0,94.0,52.0,2.0,4.0,2.0,392.0,0.4962025316455696
1911,0.0,30.0,1.0,0.0,0.0,81.0,65.0,26.0,0.0,3.0,2.0,208.0,0.5048543689320388
1912,10.0,37.0,0.0,0.0,0.0,173.0,95.0,43.0,4.0,4.0,4.0,370.0,0.5075445816186557
1913,7.0,30.0,2.0,0.0,0.0,133.0,133.0,59.0,0.0,1.0,2.0,367.0,0.46871008939974457
1914,4.0,49.0,1.0,1.0,0.0,110.0,126.0,76.0,1.0,6.0,5.0,379.0,0.5565345080763583
1915,2.0,42.0,0.0,0.0,0.0,107.0,106.0,55.0,6.0,5.0,4.0,327.0,0.5207006369426752
1916,5.0,46.0,3.0,0.0,0.0,93.0,142.0,49.0,0.0,1.0,4.0,343.0,0.48106591865357645
1917,5.0,46.0,3.0,2.0,0.0,120.0,97.0,56.0,3.0,4.0,3.0,339.0,0.47412587412587415
1918,3.0,45.0,1.0,2.0,0.0,119.0,116.0,55.0,3.0,3.0,4.0,351.0,0.4978723404255319
1919,4.0,76.0,2.0,2.0,1.0,184.0,132.0,56.0,1.0,6.0,3.0,467.0,0.6049222797927462
2064,1.0,18.0,2.0,0.0,0.0,54.0,103.0,54.0,0.0,0.0,1.0,233.0,0.5641646489104116
2068,3.0,32.0,0.0,2.0,1.0,144.0,211.0,85.0,1.0,2.0,0.0,481.0,0.4364791288566243
2069,2.0,27.0,0.0,1.0,1.0,125.0,200.0,66.0,2.0,1.0,0.0,425.0,0.45748116254036597
2070,10.0,34.0,1.0,2.0,2.0,148.0,240.0,73.0,1.0,3.0,5.0,519.0,0.4684115523465704
2071,4.0,49.0,0.0,3.0,0.0,135.0,259.0,102.0,0.0,3.0,0.0,555.0,0.5290753098188751
2072,1.0,44.0,0.0,7.0,1.0,152.0,271.0,70.0,1.0,1.0,0.0,548.0,0.5546558704453441
2073,5.0,52.0,1.0,1.0,1.0,133.0,210.0,77.0,1.0,1.0,1.0,483.0,0.3904607922392886
2074,3.0,43.0,2.0,4.0,1.0,132.0,247.0,94.0,2.0,3.0,0.0,531.0,0.3884418434528164
2075,2.0,42.0,0.0,1.0,0.0,97.0,228.0,79.0,2.0,2.0,2.0,455.0,0.3760330578512397
2280,1.0,27.0,0.0,3.0,1.0,113.0,147.0,49.0,0.0,3.0,2.0,346.0,0.4650537634408602
2530,3.0,56.0,1.0,1.0,0.0,157.0,52.0,34.0,0.0,2.0,10.0,316.0,0.5374149659863946
2554,4.0,35.0,2.0,3.0,0.0,157.0,238.0,79.0,1.0,2.0,0.0,521.0,0.44227504244482174
2580,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,7.0,
2581,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,11.0,
2582,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,
2592,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
2601,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,
2602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
