SEZIONE,ANDREA SIGNORINI,DANIELE TORQUATI,TOTALE,AFFLUENZA,MUNICIPIO
2409,224,193,417,0.4116485686080948,15
2410,198,123,321,0.41101152368758004,15
2411,199,172,371,0.4608695652173913,15
2412,197,184,381,0.40748663101604277,15
2413,67,91,158,0.398989898989899,15
2414,170,146,316,0.3945068664169788,15
2415,245,181,426,0.4541577825159915,15
2416,177,176,353,0.5405819295558959,15
2417,231,229,460,0.46795523906408953,15
2418,219,200,419,0.4619625137816979,15
2419,242,194,436,0.44263959390862945,15
2420,208,140,348,0.38453038674033146,15
2421,175,187,362,0.4670967741935484,15
2422,147,172,319,0.3918918918918919,15
2423,230,149,379,0.3786213786213786,15
2424,125,166,291,0.4110169491525424,15
2425,135,189,324,0.39657282741738065,15
2426,120,142,262,0.3695345557122708,15
2434,163,140,303,0.49917627677100496,15
2435,126,183,309,0.5167224080267558,15
2436,90,141,231,0.4647887323943662,15
2437,135,234,369,0.5650842266462481,15
2438,121,177,298,0.47527910685805425,15
2439,105,159,264,0.4018264840182648,15
2440,86,179,265,0.45768566493955093,15
2441,114,163,277,0.4128166915052161,15
2442,144,128,272,0.4114977307110439,15
2443,115,156,271,0.42812006319115326,15
2444,93,134,227,0.44597249508840864,15
2445,100,100,200,0.36036036036036034,15
2446,103,89,192,0.3794466403162055,15
2447,77,158,235,0.4072790294627383,15
2448,93,147,240,0.4355716878402904,15
2449,93,110,203,0.4194214876033058,15
2450,139,148,287,0.3873144399460189,15
2451,140,207,347,0.46328437917222964,15
2452,136,184,320,0.4698972099853157,15
2453,102,149,251,0.458029197080292,15
2454,115,175,290,0.506108202443281,15
2455,162,184,346,0.4292803970223325,15
2456,92,114,206,0.46924829157175396,15
2457,133,141,274,0.5209125475285171,15
2458,111,198,309,0.5273037542662116,15
2459,111,154,265,0.4274193548387097,15
2460,118,203,321,0.4115384615384615,15
2461,146,144,290,0.4923599320882852,15
2462,150,206,356,0.5035360678925035,15
2463,117,174,291,0.5087412587412588,15
2464,170,207,377,0.5511695906432749,15
2465,173,181,354,0.5,15
2466,171,226,397,0.4521640091116173,15
2467,113,112,225,0.4174397031539889,15
2468,178,180,358,0.48707482993197276,15
2469,158,156,314,0.5155993431855501,15
2470,271,259,530,0.5145631067961165,15
2471,153,160,313,0.3937106918238994,15
2472,229,190,419,0.4486081370449679,15
2473,174,193,367,0.46163522012578617,15
2474,204,247,451,0.45235707121364094,15
2475,172,161,333,0.44047619047619047,15
2476,212,204,416,0.39884947267497606,15
2477,198,198,396,0.41596638655462187,15
2478,290,248,538,0.5089877010406811,15
2479,102,117,219,0.3802083333333333,15
2480,111,107,218,0.3844797178130511,15
2481,134,282,416,0.5219573400250941,15
2482,132,164,296,0.3704630788485607,15
2483,117,194,311,0.3877805486284289,15
2484,124,171,295,0.3949129852744311,15
2485,129,187,316,0.43169398907103823,15
2486,101,130,231,0.4520547945205479,15
2487,161,217,378,0.4638036809815951,15
2488,76,66,142,0.2526690391459075,15
2489,149,193,342,0.48169014084507045,15
2490,126,169,295,0.4331864904552129,15
2491,129,139,268,0.3732590529247911,15
2492,116,170,286,0.43007518796992483,15
2493,113,185,298,0.463452566096423,15
2494,73,37,110,0.25882352941176473,15
2495,97,72,169,0.26996805111821087,15
2496,92,88,180,0.31802120141342755,15
2497,138,91,229,0.38617200674536256,15
2498,223,196,419,0.4387434554973822,15
2499,189,124,313,0.37041420118343193,15
2500,166,152,318,0.38405797101449274,15
2501,130,100,230,0.4144144144144144,15
2502,151,119,270,0.4292527821939587,15
2503,136,136,272,0.41590214067278286,15
2504,213,152,365,0.3014037985136251,15
2505,204,111,315,0.24324324324324326,15
2506,207,169,376,0.3233018056749785,15
2507,245,146,391,0.3350471293916024,15
2508,180,199,379,0.3429864253393665,15
2509,211,243,454,0.40535714285714286,15
2598,6,7,13,,15
2600,3,5,8,,15
