SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,POTERE AL POPOLO,SETTIMO SOSTENIBILE LISTA CIVICA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,TOTALE,MUNICIPIO,AFFLUENZA
1158,3,7,40,5,4,124,7,1,0,0,14,91,24,19,1,9,14,0,38,79,45,525,7,0.4962192816635161
1159,2,8,33,11,4,73,2,1,3,3,9,101,23,19,5,8,23,2,42,39,26,437,7,0.5028768699654775
1160,3,13,26,6,8,83,8,3,0,3,19,102,30,46,2,31,25,0,48,41,35,532,7,0.44149377593360994
1161,6,10,30,10,6,113,4,1,0,1,13,170,32,50,3,2,16,4,45,64,28,608,7,0.5100671140939598
1162,4,12,43,23,7,102,5,1,1,1,16,104,19,29,3,1,21,0,77,54,51,574,7,0.4827586206896552
1163,5,1,16,11,2,57,6,3,0,27,10,66,18,19,3,0,8,1,17,20,14,304,7,0.4170096021947874
1164,9,14,26,22,5,99,7,0,0,4,7,97,7,29,5,4,17,3,33,32,36,456,7,0.5283893395133256
1165,6,9,25,15,5,63,3,0,1,3,15,94,21,42,6,4,6,3,41,43,34,439,7,0.4511819116135663
1166,5,9,19,9,1,66,14,7,2,5,25,121,17,38,1,4,24,1,32,49,43,492,7,0.45981308411214955
1167,2,8,29,6,5,48,3,2,1,2,13,75,14,19,3,3,8,3,40,34,39,357,7,0.45710627400768244
1168,7,6,31,9,5,88,6,1,4,1,24,99,24,32,2,2,27,2,54,48,41,513,7,0.47988774555659497
1169,0,7,34,9,4,76,2,0,1,2,8,114,26,34,0,9,35,3,34,55,38,491,7,0.5173867228661749
1170,6,4,36,0,9,76,1,1,2,2,17,84,14,35,0,4,25,5,41,45,37,444,7,0.4649214659685864
1171,3,11,19,8,10,58,1,0,0,3,14,101,9,36,1,2,32,3,38,68,47,464,7,0.48333333333333334
1172,3,17,23,6,6,83,6,1,2,2,16,103,20,29,4,6,23,0,46,35,23,454,7,0.47940865892291445
1173,2,10,14,4,2,80,1,1,2,5,13,113,18,41,2,2,25,1,59,45,31,471,7,0.4776876267748479
1174,3,4,26,8,7,70,4,0,0,0,11,83,7,28,1,3,10,2,38,55,32,392,7,0.4409448818897638
1175,2,3,15,6,9,65,0,4,2,3,11,89,13,16,2,1,11,1,45,37,32,367,7,0.4986413043478261
1176,3,3,13,2,3,70,1,0,0,3,8,61,15,24,5,0,12,2,34,31,21,311,7,0.5149006622516556
1177,7,9,21,5,7,88,3,5,1,2,14,111,14,27,1,5,14,3,45,47,43,472,7,0.5053533190578159
1178,1,2,32,3,2,68,0,2,0,2,9,58,10,28,4,2,10,1,43,58,24,359,7,0.429940119760479
1179,5,9,20,4,6,74,0,3,1,6,10,63,18,21,9,1,8,0,28,41,23,350,7,0.4685408299866131
1180,5,4,22,6,2,70,1,1,0,2,5,79,13,15,7,3,7,1,40,41,36,360,7,0.47619047619047616
1181,4,10,7,8,2,62,0,1,0,0,6,62,5,14,2,0,9,0,33,30,17,272,7,0.508411214953271
1182,1,5,16,5,3,62,2,0,0,1,8,64,14,19,2,4,10,1,35,28,17,297,7,0.5111876075731497
1183,3,6,27,7,2,74,2,1,0,1,10,79,17,21,3,1,6,2,35,47,39,383,7,0.5253772290809328
1184,6,1,21,1,1,73,0,0,4,0,8,115,18,16,0,3,7,1,35,36,23,369,7,0.4829842931937173
1185,0,8,23,3,4,90,9,0,0,0,10,120,16,32,6,4,18,2,50,46,43,484,7,0.5289617486338798
1186,0,5,32,6,4,37,0,5,1,2,17,79,17,21,0,1,10,3,84,51,25,400,7,0.425531914893617
1187,7,13,27,6,4,63,2,0,1,1,14,107,11,36,6,5,19,2,35,54,28,441,7,0.44366197183098594
1188,3,3,20,7,6,59,0,5,0,3,15,107,29,41,3,7,13,0,49,50,43,463,7,0.4534769833496572
1189,4,2,26,4,1,74,2,0,0,3,7,83,15,21,5,11,4,3,32,58,18,373,7,0.37829614604462475
1190,4,4,21,2,5,69,1,2,1,2,13,111,19,35,3,0,7,0,43,55,50,447,7,0.4197183098591549
1191,5,5,21,10,11,81,0,1,1,1,11,105,22,40,2,2,16,2,40,59,49,484,7,0.5041666666666667
1192,6,8,26,6,8,60,0,2,7,1,21,103,33,25,2,2,18,2,50,54,39,473,7,0.4701789264413519
1193,2,6,24,6,3,41,1,0,0,0,11,67,15,38,2,2,8,0,59,36,34,355,7,0.3914002205071665
1574,8,6,21,10,6,69,1,1,3,3,7,45,14,6,5,2,7,1,21,45,33,314,7,0.525963149078727
2525,1,4,44,5,8,65,1,1,2,2,11,78,15,26,4,2,5,0,47,35,23,379,7,0.5053333333333333
2526,4,8,27,15,6,70,3,0,0,2,9,81,16,22,1,1,15,2,54,32,22,390,7,0.5492957746478874
2527,8,9,44,13,5,143,2,2,0,0,21,103,30,31,5,6,42,1,38,54,40,597,7,0.5447080291970803
2543,1,5,22,6,5,47,3,0,1,2,8,69,11,15,3,4,39,0,28,54,42,365,7,0.5383480825958702
2544,5,14,43,10,9,108,0,2,2,5,9,174,17,34,4,3,39,2,60,55,46,641,7,0.5236928104575164
2545,2,2,26,9,3,51,0,3,3,4,6,76,15,22,2,2,15,0,34,36,30,341,7,0.5044378698224852
2565,8,6,16,4,5,50,3,0,0,6,11,132,19,38,0,3,13,0,30,60,46,450,7,0.3697617091207888
2577,0,1,1,0,0,4,0,0,0,0,0,9,2,1,0,0,0,0,0,1,0,19,7,
