SEZIONE,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,RICONQUISTARE L'ITALIA,LIBERISTI ITALIANI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,NOI X IL 9 MUNICIPIO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
1688,5,32,91,4,4,5,7,0,2,0,0,3,27,115,8,3,8,41,2,45,34,436,9,0.55470737913486
1689,0,21,70,2,7,11,2,2,3,2,0,1,25,85,38,5,17,18,0,20,41,370,9,0.42725173210161665
1690,7,31,110,7,14,7,6,1,2,1,0,3,26,91,11,11,8,47,3,29,58,473,9,0.5344632768361582
1691,4,29,73,5,14,14,6,0,0,0,0,4,19,74,8,9,9,52,3,35,36,394,9,0.5889387144992526
1692,2,28,109,9,15,13,8,7,2,0,1,2,17,114,11,8,8,60,2,40,57,513,9,0.565600882028666
1693,6,29,82,14,5,14,7,6,3,0,1,9,41,136,23,6,18,88,1,37,38,564,9,0.56797583081571
1694,6,18,76,0,13,12,5,1,2,0,0,2,28,86,22,4,7,39,0,15,62,398,9,0.559774964838256
1695,9,11,50,3,8,7,1,2,0,2,0,4,17,68,12,3,3,32,0,33,26,291,9,0.5017241379310344
1696,2,28,85,5,11,2,3,2,2,0,0,5,26,56,70,4,10,53,0,28,55,447,9,0.5594493116395495
1697,4,23,77,7,7,3,14,7,0,2,0,4,25,99,21,9,16,115,4,24,29,490,9,0.5625717566016073
1698,1,2,3,0,0,1,0,0,0,0,0,1,4,13,4,1,4,0,0,9,6,49,9,0.2300469483568075
1973,8,26,89,10,17,5,6,4,1,4,0,6,44,118,15,9,25,103,0,61,60,611,9,0.5891996142719382
1974,13,49,50,10,10,10,0,1,0,0,0,12,50,50,50,10,30,47,0,30,29,451,9,0.5219907407407407
1975,19,18,67,12,38,6,4,1,2,2,0,8,14,120,14,6,8,67,0,35,66,507,9,0.5054835493519442
1976,14,18,70,21,29,10,4,1,2,1,0,3,13,130,6,3,11,48,0,21,47,452,9,0.5136363636363637
1977,2,17,65,14,12,14,3,0,1,2,0,1,17,121,23,5,7,64,1,20,46,435,9,0.5478589420654912
1978,0,24,66,12,9,5,12,1,0,2,0,5,53,125,24,5,13,97,6,67,48,574,9,0.5851172273190621
2511,2,11,51,8,8,4,8,8,1,1,1,4,43,80,14,9,13,38,0,11,25,340,9,0.5582922824302134
2513,5,23,42,8,3,3,1,1,2,3,1,2,11,94,41,10,5,43,3,33,35,369,9,0.5309352517985612
2514,3,25,116,11,8,4,7,3,2,1,0,3,28,159,29,19,16,139,4,28,48,653,9,0.5738137082601055
2528,0,31,74,11,8,0,5,1,1,1,3,3,76,132,21,14,14,17,0,57,56,525,9,0.5131964809384164
2529,1,44,94,3,6,3,15,3,3,1,5,7,58,116,17,15,26,58,1,56,60,592,9,0.6757990867579908
2546,2,20,75,7,6,5,2,4,3,0,0,1,54,136,20,10,17,118,5,42,42,569,9,0.6178067318132465
2561,10,26,74,15,31,21,2,1,1,3,1,4,11,116,11,8,4,40,2,28,62,471,9,0.471
2566,6,24,84,9,15,10,16,4,0,3,1,4,75,104,20,5,14,117,0,65,41,617,9,0.5603996366939146
2579,0,0,4,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,0,2,1,15,9,
2584,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,11,9,
2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,9,
