SEZIONE,GIANLUCA LANZI,DANIELE CATALANO,TOTALE,AFFLUENZA,MUNICIPIO
1594,229,193,422,0.49588719153936545,11
1595,299,178,477,0.48773006134969327,11
1596,199,162,361,0.3661257606490872,11
1597,213,207,420,0.47565118912797283,11
1598,205,156,361,0.4725130890052356,11
1599,276,190,466,0.48898216159496327,11
1600,212,148,360,0.49113233287858116,11
1601,237,110,347,0.6003460207612457,11
1602,149,122,271,0.464041095890411,11
1920,290,256,546,0.46987951807228917,11
1921,229,127,356,0.4506329113924051,11
1923,185,173,358,0.4068181818181818,11
1924,209,142,351,0.43548387096774194,11
1925,256,177,433,0.43430290872617855,11
1926,254,159,413,0.46248600223964165,11
1927,249,175,424,0.4165029469548134,11
1928,253,163,416,0.37749546279491836,11
1929,186,138,324,0.28371278458844135,11
1931,143,142,285,0.274831243972999,11
1932,57,84,141,0.203757225433526,11
1934,192,123,315,0.4332874828060523,11
1935,208,142,350,0.4151838671411625,11
1936,165,127,292,0.40896358543417366,11
2057,159,200,359,0.37670514165792235,11
2058,141,154,295,0.2554112554112554,11
2059,212,193,405,0.35309503051438534,11
2060,195,204,399,0.36141304347826086,11
2061,181,189,370,0.3413284132841328,11
2062,177,200,377,0.4226457399103139,11
2063,220,152,372,0.2976,11
2276,141,132,273,0.44246353322528365,11
2549,275,245,520,0.43333333333333335,11
2553,187,122,309,0.35805330243337197,11
2568,0,1,1,0.0009165902841429881,11
2593,2,0,2,,11
2597,0,1,1,,11
