SEZIONE,CATERINA BOCA,PAOLO ALECCI,ALESSIO TONDI,PATRIZIO DI TURSI,FRANCESCA DEL BELLO,MASSIMO TESONE,ELISABETTA GAGLIASSI,RAFFAELE SCHETTINO,STEFANO BERRUTI,TOTALE,AFFLUENZA
65,134,4,2,191,176,1,46,4,3,561,0.677536231884058
66,103,4,2,146,142,1,41,1,1,441,0.5313253012048192
120,150,3,0,115,173,26,21,2,0,490,0.6464379947229552
121,166,4,2,154,172,0,31,6,0,535,0.625
122,165,0,3,143,136,0,20,0,0,467,0.6327913279132791
123,230,8,6,146,190,5,36,3,1,625,0.6706008583690987
124,193,2,5,152,258,1,22,2,2,637,0.656701030927835
125,178,3,6,187,182,1,20,0,2,579,0.649103139013453
126,183,1,7,137,200,0,29,3,2,562,0.5985090521831736
127,154,6,0,155,166,0,10,2,0,493,0.632051282051282
128,172,2,4,149,238,0,31,4,2,602,0.621900826446281
129,165,2,0,133,138,0,24,1,1,464,0.6194926568758344
130,157,3,2,35,229,1,28,2,0,457,0.4929881337648328
131,187,5,1,161,203,0,37,2,2,598,0.6281512605042017
132,175,1,3,148,159,2,37,1,1,527,0.5849056603773585
133,185,4,5,156,231,4,33,3,0,621,0.6543730242360379
134,111,11,10,150,243,1,20,3,0,549,0.5834218916046758
135,177,4,2,132,170,1,34,5,4,529,0.6108545034642032
136,174,4,2,131,170,1,39,1,0,522,0.5711159737417943
137,223,4,0,177,188,0,23,3,1,619,0.6374871266735325
138,202,8,2,146,252,0,38,4,0,652,0.6579212916246215
139,161,2,3,148,159,1,28,2,0,504,0.5550660792951542
140,184,8,5,105,233,1,34,0,0,570,0.6229508196721312
141,192,5,1,160,252,2,37,2,2,653,0.6731958762886598
142,199,5,1,115,222,1,20,6,0,569,0.6308203991130821
143,191,3,4,174,156,0,28,0,4,560,0.6370875995449374
144,223,2,3,157,230,2,37,3,0,657,0.6221590909090909
145,141,1,1,149,155,2,26,0,0,475,0.5952380952380952
