LISTA,CANDIDATO
ROMA DECIDE VIRGINIA RAGGI SINDACA,BENEDETTO MARCONI
ROMA DECIDE VIRGINIA RAGGI SINDACA,FRANCESCA ROCCADORO
ROMA DECIDE VIRGINIA RAGGI SINDACA,ALICE MODUGNO
ROMA DECIDE VIRGINIA RAGGI SINDACA,SIMONE TERENZI
ROMA DECIDE VIRGINIA RAGGI SINDACA,UMBERTO GIOLITTI
ROMA DECIDE VIRGINIA RAGGI SINDACA,MARIA ROSARIA CAPORILLI
ROMA DECIDE VIRGINIA RAGGI SINDACA,LAURA VALLESE
ROMA DECIDE VIRGINIA RAGGI SINDACA,PAOLO MACIOCI
ROMA DECIDE VIRGINIA RAGGI SINDACA,MARCO PETRUCCI
ROMA DECIDE VIRGINIA RAGGI SINDACA,FEDERICA FRANCESCONE
ROMA DECIDE VIRGINIA RAGGI SINDACA,VALERIA LANZI
ROMA DECIDE VIRGINIA RAGGI SINDACA,FEDERICA PAGLIEI
ROMA DECIDE VIRGINIA RAGGI SINDACA,ELISABETTA CANTELLI
ROMA DECIDE VIRGINIA RAGGI SINDACA,SERGIO BIASUCCI
ROMA DECIDE VIRGINIA RAGGI SINDACA,MATTEO IALLONARDI
ROMA DECIDE VIRGINIA RAGGI SINDACA,MARIANNA DI EMILIO
LISTA CIVICA VIRGINIA RAGGI,GABRIELLA RAGGI
LISTA CIVICA VIRGINIA RAGGI,TERESA DONVITO
LISTA CIVICA VIRGINIA RAGGI,MIRIAM MIROLLA
LISTA CIVICA VIRGINIA RAGGI,ANTONIO DE SANTIS
LISTA CIVICA VIRGINIA RAGGI,MARCO DORIA
LISTA CIVICA VIRGINIA RAGGI,VERONICA TASCIOTTI
LISTA CIVICA VIRGINIA RAGGI,FAUSTO LUIGI CAGGIA
LISTA CIVICA VIRGINIA RAGGI,MARCO PORCELLANA
LISTA CIVICA VIRGINIA RAGGI,SEBASTIANO LA MANNA
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRA GABBANI
LISTA CIVICA VIRGINIA RAGGI,FRANCESCO TESSE
LISTA CIVICA VIRGINIA RAGGI,EMANUELE ARCESE
LISTA CIVICA VIRGINIA RAGGI,ILARIA TRIONFETTI
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRO D'ANGELILLO
LISTA CIVICA VIRGINIA RAGGI,ANNA CHIARA TORTI
LISTA CIVICA VIRGINIA RAGGI,PAOLO LA BOLLITA
LISTA CIVICA VIRGINIA RAGGI,ALFREDO SANTOLOCI
LISTA CIVICA VIRGINIA RAGGI,CRISTINA MARTINA SEQUEIRA NEVES
LISTA CIVICA VIRGINIA RAGGI,JESSICA AMADEI
LISTA CIVICA VIRGINIA RAGGI,MASSIMO CASALE
LISTA CIVICA VIRGINIA RAGGI,MARCO SCIARRA
LISTA CIVICA VIRGINIA RAGGI,ANTONIO LIBONATI
LISTA CIVICA VIRGINIA RAGGI,JACOPO COLALONGO
LISTA CIVICA VIRGINIA RAGGI,BARBARA MILIONI
LISTA CIVICA VIRGINIA RAGGI,MARIA MARTINA PETRICCA
LISTA CIVICA VIRGINIA RAGGI,SALVATORE ANGIUS
LISTA CIVICA VIRGINIA RAGGI,ANDREA BEZZICCHERI
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRO CORRUCCINI
LISTA CIVICA VIRGINIA RAGGI,SERENA MARIA CANDIGLIOTA
LISTA CIVICA VIRGINIA RAGGI,EMANUELE CECCATO
LISTA CIVICA VIRGINIA RAGGI,DAVIDE CARLO MARIA FERRARIS
LISTA CIVICA VIRGINIA RAGGI,MARCO COLAROSSI
LISTA CIVICA VIRGINIA RAGGI,TIZIANA BORGATTA
LISTA CIVICA VIRGINIA RAGGI,EMANUELE PANZETTI
LISTA CIVICA VIRGINIA RAGGI,PIETRO BARRERA
LISTA CIVICA VIRGINIA RAGGI,MARCO CALVO
LISTA CIVICA VIRGINIA RAGGI,FRANCESCA PAGLIARA
LISTA CIVICA VIRGINIA RAGGI,ROBERTA ROVELLI
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRO RICCI
LISTA CIVICA VIRGINIA RAGGI,CARMELO CIRAULO
LISTA CIVICA VIRGINIA RAGGI,RENATO FRILLI
LISTA CIVICA VIRGINIA RAGGI,ANNA MARIA NANGANO
LISTA CIVICA VIRGINIA RAGGI,AMELIA SANSONE
LISTA CIVICA VIRGINIA RAGGI,GIULIA SCATAMACCHIA
LISTA CIVICA VIRGINIA RAGGI,ALESSANDRO CRASTA
LISTA CIVICA VIRGINIA RAGGI,DANIELE BIANCONI
LISTA CIVICA VIRGINIA RAGGI,CRISTIANA SOTTILE
LISTA CIVICA VIRGINIA RAGGI,EVELYN VENUTO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ANGELA RAFFAELA TERESA BARRECA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,SARA CIASCO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,NADIA BENGALA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,BARBARA DE FILIPPO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,MASSIMO SPANO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,LUDOVICA REALINI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ANJA PRISKA DAHM
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,PAOLA SCHIRRU
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,LAURA GASPARI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,FABIANA PARAVANI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,LORIANA ROSSI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ANNARITA MAZZUCCA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,GIUSEPPE DOMENICO BITETTI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ORIANA FUNARI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ROSARIA RITA SFORZA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,DANIELA ANGELICI
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,IVANA D'ADAMO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,CHIARA POLICELLA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,DONATO VONA
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,GASPARE LOMBARDO
CON LE DONNE PER ROMA VIRGINIA RAGGI SINDACA,ALDO NANI
