SEZIONE,GIORGIA MELONI FRATELLI D'ITALIA,POTERE AL POPOLO,REVOLUZIONE CIVICA,MOVIMENTO IDEA SOCIALE M.I.S.,PARTITO COMUNISTA MARCO RIZZO,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,LISTA CIVICA LE TORRI NICOLA FRANCO PRESIDENTE,TOTALE,MUNICIPIO,AFFLUENZA
616,104,8,0,5,6,0,2,4,49,23,7,0,50,0,1,46,53,16,49,39,24,0,486,6,0.47047434656340753
627,87,9,5,3,4,0,6,7,64,14,6,4,35,1,0,47,78,18,46,15,12,0,461,6,0.39810017271157166
677,58,1,2,1,1,0,3,2,18,9,2,2,18,0,1,16,30,9,22,16,2,4,217,6,0.42549019607843136
678,78,3,3,1,2,1,0,5,38,13,2,0,22,1,8,22,30,10,24,19,7,0,289,6,0.41051136363636365
679,87,5,1,1,3,2,4,6,64,19,6,1,29,0,0,38,71,8,43,9,17,0,414,6,0.4198782961460446
680,71,4,2,2,5,0,4,2,72,8,3,2,25,1,0,38,65,7,60,8,8,1,388,6,0.44141069397042093
681,81,3,0,2,6,0,2,7,56,17,0,0,22,1,3,44,71,8,60,16,23,0,422,6,0.42369477911646586
682,80,4,0,1,1,1,4,0,50,15,1,4,33,1,0,44,44,7,52,9,20,0,371,6,0.28737412858249417
683,119,3,4,1,6,0,7,3,66,39,4,0,36,0,0,41,59,14,49,18,20,2,491,6,0.6635135135135135
684,27,15,2,2,4,3,2,1,45,12,1,2,9,0,1,27,27,19,35,29,6,0,269,6,0.2561904761904762
685,68,18,1,4,7,0,7,0,33,15,3,0,25,6,1,43,61,9,34,44,14,0,393,6,0.3546931407942238
686,88,4,3,0,4,3,4,4,42,16,3,2,34,3,1,44,52,14,47,34,19,0,421,6,0.41315014720314036
687,108,3,3,3,5,2,1,2,53,18,4,1,54,1,0,51,50,19,32,26,23,3,462,6,0.37868852459016394
688,73,2,1,1,3,1,3,5,117,13,4,0,37,6,0,0,120,8,60,9,11,0,474,6,0.3841166936790924
689,89,1,3,1,4,3,5,1,69,20,0,1,39,1,0,45,62,15,45,19,24,2,449,6,0.41420664206642066
690,64,5,0,2,4,1,3,4,64,13,4,0,20,0,0,40,56,13,72,21,8,0,394,6,0.4684898929845422
691,129,4,0,5,4,1,7,6,50,10,2,0,16,1,0,48,50,12,41,29,9,0,424,6,0.36551724137931035
692,146,1,1,0,7,1,2,1,51,14,0,0,10,1,1,23,54,12,84,20,8,1,438,6,0.40555555555555556
693,104,7,3,4,5,1,8,1,75,12,2,0,14,0,5,31,39,12,83,24,13,1,444,6,0.4378698224852071
694,134,4,2,1,9,2,6,7,53,16,3,2,23,4,1,35,42,5,46,22,12,0,429,6,0.45063025210084034
695,50,0,0,0,1,0,5,0,89,10,2,1,9,0,0,12,7,3,21,10,5,0,225,6,0.42938931297709926
697,49,6,0,0,2,3,4,1,107,21,8,1,14,2,2,18,48,9,28,16,8,0,347,6,0.45478374836173
698,42,9,3,2,3,5,6,6,153,22,7,2,19,0,1,15,47,13,19,10,11,0,395,6,0.4817073170731707
699,42,8,1,0,3,1,2,1,71,17,1,1,32,1,0,24,45,10,23,35,9,5,332,6,0.3892145369284877
700,32,1,2,0,4,0,1,4,134,13,4,3,9,1,0,16,41,4,15,7,15,1,307,6,0.42698191933240615
701,45,1,1,1,2,1,1,1,76,7,3,3,21,2,0,29,42,4,27,12,9,0,288,6,0.391304347826087
702,50,5,0,1,2,1,6,5,67,19,4,2,17,0,0,22,42,9,26,13,8,2,301,6,0.43371757925072046
703,50,32,1,2,3,0,0,2,30,3,2,3,10,0,0,17,18,7,16,5,6,4,211,6,0.3892988929889299
704,30,98,1,1,1,0,1,1,40,7,3,2,6,0,0,19,17,3,18,10,2,1,261,6,0.3670886075949367
705,54,5,2,8,2,0,3,4,95,23,1,1,15,6,1,15,37,12,28,13,5,3,333,6,0.4536784741144414
706,45,5,1,0,1,3,1,5,58,10,2,0,13,0,2,9,20,5,25,3,2,7,217,6,0.3438985736925515
707,60,1,1,2,2,6,6,4,89,39,0,1,17,0,0,18,38,10,34,8,8,0,344,6,0.41646489104116224
708,43,5,2,0,7,1,4,5,53,24,3,2,11,0,2,24,23,2,24,10,0,6,251,6,0.42759795570698467
709,83,6,8,2,5,0,2,7,57,16,5,0,25,1,0,38,46,11,64,23,17,3,419,6,0.44957081545064376
710,92,8,3,0,5,4,2,3,41,18,0,0,27,1,0,29,50,1,73,13,15,0,385,6,0.44715447154471544
711,65,4,7,2,4,5,2,4,48,16,3,0,21,1,4,42,50,10,59,19,10,2,378,6,0.421875
712,114,0,0,0,0,3,1,2,34,14,6,0,0,0,0,21,50,12,47,15,7,4,330,6,0.35947712418300654
713,82,1,0,3,4,2,3,2,53,14,1,5,26,1,1,30,41,19,45,15,15,5,368,6,0.4274099883855981
714,105,3,4,0,5,1,2,3,37,22,2,1,46,0,1,26,39,13,34,17,27,5,393,6,0.4185303514376997
715,92,7,1,1,7,0,4,5,48,17,4,1,26,2,0,25,41,9,32,14,48,4,388,6,0.39271255060728744
716,76,4,2,3,6,0,2,4,50,11,3,2,31,0,2,32,72,12,42,19,32,10,415,6,0.4076620825147348
717,78,9,4,3,1,3,2,2,69,13,4,0,28,0,2,46,45,10,30,20,27,1,397,6,0.41877637130801687
718,95,6,4,2,1,7,3,1,35,14,4,0,24,1,0,31,48,5,60,20,10,0,371,6,0.44272076372315033
719,87,13,3,2,5,3,2,4,46,17,4,0,23,0,0,31,43,10,36,24,12,3,368,6,0.4433734939759036
720,80,6,3,1,3,8,2,0,48,14,10,0,28,2,0,27,48,13,48,19,11,0,371,6,0.4235159817351598
721,66,8,5,0,4,5,8,11,36,7,2,0,17,0,0,31,36,5,47,10,15,1,314,6,0.38246041412911086
722,67,10,3,3,0,10,2,3,48,13,3,3,30,2,0,40,48,3,40,25,2,0,355,6,0.4011299435028249
723,76,5,2,3,5,4,6,0,49,6,3,2,40,2,4,33,53,12,41,23,12,5,386,6,0.42936596218020023
724,110,5,6,3,5,2,4,6,33,20,5,0,30,1,1,37,44,9,27,11,10,3,372,6,0.43205574912891986
725,61,4,10,1,3,1,5,1,35,10,5,2,34,2,1,31,40,10,27,16,9,3,311,6,0.38923654568210264
