SEZIONE,PARTITO DELLE BUONE MANIERE,MPL MOVIMENTO POLITICO LIBERTAS,"IL POPOLO DELLA FAMIGLIA ""NO GENDER NELLE SCUOLE""",DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PARTITO SOCIALISTA ITALIANO PSI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,CALENDA SINDACO,PARTITO COMUNISTA MARCO RIZZO,POTERE AL POPOLO,FIGLI D'ITALIA BAMBINI NEL MONDO CARLO PRIOLO SINDACO,MOVIMENTO STORICO ROMANO LISTA NERONE,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE DI,PARTITO LIBERALE EUROPEO ROMA CON MICHETTI,ITALIA DEI VALORI,VERITA' 3V LIBERTA',CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDACA,"SPORTIVI PER ROMA ""VIRGINIA RAGGI SINDACA""","MOVIMENTO CINQUE STELLE ""2050""","ROMA DECIDE ""VIRGINIA RAGGI SINDACA""","LISTA CIVICA ""VIRGINIA RAGGI""","CON LE DONNE PER ROMA ""VIRGINIA RAGGI SINDACA""",PARTITO COMUNISTA DEI LAVORATORI,PCI,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,PROGETTO CIVICO ATTIVA ROMA,MOVIMENTO IDEA SOCIALE M.I.S.,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,TOTALE,AFFLUENZA
1003,0,0,0,2,23,0,17,19,6,88,91,5,1,0,0,9,0,58,17,10,14,6,0,6,1,8,5,34,0,23,2,0,3,0,0,1,5,454,0.5242494226327945
1004,0,0,2,3,51,1,12,10,4,85,115,0,5,0,0,3,0,53,3,3,25,9,1,1,5,7,2,49,0,20,2,0,1,1,0,1,0,474,0.5780487804878048
1005,0,0,0,5,13,0,7,15,6,69,84,1,2,0,0,1,0,43,14,8,14,4,1,1,5,1,1,23,0,9,1,0,3,0,0,3,1,335,0.5377207062600321
1006,0,0,1,7,32,1,6,16,1,63,63,4,0,0,0,1,0,33,8,3,10,3,0,1,1,5,0,21,0,20,0,0,1,1,0,0,1,303,0.5144312393887945
1007,0,0,2,5,42,0,7,9,11,69,101,0,3,0,0,6,0,57,4,15,19,11,0,0,0,6,4,38,0,12,2,0,0,1,0,0,2,427,0.5930555555555556
1008,0,1,1,6,46,0,13,13,5,103,108,0,1,0,0,8,1,61,8,9,23,22,1,0,2,14,3,45,2,19,3,3,2,0,0,0,4,527,0.49670122525918947
1009,0,0,0,2,29,1,1,7,6,50,100,1,0,0,0,1,2,84,7,12,22,29,1,0,1,9,0,73,0,30,8,0,2,2,0,0,0,481,0.5010416666666667
1010,0,0,0,3,42,0,15,24,3,134,97,2,4,0,0,3,0,80,11,7,15,21,0,1,8,4,2,58,0,24,4,0,2,2,0,0,3,569,0.5182149362477231
1011,0,0,0,3,35,0,7,6,8,59,122,0,3,0,0,3,1,135,8,16,29,19,2,1,5,3,3,62,4,41,1,0,1,3,0,0,2,584,0.6431718061674009
1012,0,0,0,8,47,1,3,11,8,81,166,2,0,0,0,6,0,93,16,11,23,21,0,0,4,6,1,43,1,13,1,0,1,2,0,1,5,575,0.539906103286385
1013,0,0,0,6,32,2,16,16,6,99,112,0,0,0,0,6,0,96,15,15,23,19,0,2,5,7,2,47,0,21,4,0,0,1,0,0,1,553,0.4995483288166215
