SEZIONE,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,MOVIMENTO STORICO ROMANO LISTA NERONE,POTERE AL POPOLO,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,MPL MOVIMENTO POLITICO LIBERTAS,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,IMPEGNO CIVICO CALISTE PRESIDENTE,SINISTRA CIVICA ECOLOGISTA,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
668,37,1,3,2,7,1,2,1,14,30,10,106,19,29,2,28,0,8,7,10,106,6,74,503,5,0.4347450302506482
669,32,0,6,0,4,0,0,0,11,36,6,107,11,49,4,29,3,10,4,8,87,2,64,473,5,0.4504761904761905
670,42,0,5,1,6,2,6,0,21,43,11,95,22,37,8,21,1,6,6,13,60,1,71,478,5,0.43853211009174314
671,30,0,4,1,5,3,1,1,18,33,7,114,16,40,4,14,0,9,5,7,41,3,64,420,5,0.492379835873388
672,35,0,5,0,3,1,0,4,7,35,10,125,25,30,5,13,2,4,1,3,58,5,54,425,5,0.413022351797862
673,38,0,4,0,3,1,3,2,18,33,7,103,18,33,7,19,1,4,3,9,50,3,47,406,5,0.46559633027522934
674,17,0,6,0,4,0,6,2,16,25,4,84,7,21,7,12,0,1,3,3,39,3,47,307,5,0.38910012674271227
675,28,0,3,1,4,1,1,0,8,32,12,103,11,20,11,10,0,1,3,4,45,1,51,350,5,0.37553648068669526
676,30,0,3,1,2,0,2,0,9,48,8,95,5,26,2,8,0,1,4,5,78,2,65,394,5,0.4436936936936937
696,14,0,6,0,2,0,4,1,14,18,4,56,8,16,2,8,0,6,5,0,37,4,29,234,5,0.45525291828793774
920,18,0,7,2,9,2,11,1,23,23,8,56,1,31,3,20,10,24,27,27,42,1,36,382,5,0.4829329962073325
921,27,0,4,0,8,4,1,3,19,26,10,67,8,33,4,15,2,33,20,14,48,4,46,396,5,0.5038167938931297
922,17,1,3,0,5,0,21,0,7,14,2,47,5,19,9,18,1,26,35,18,42,0,29,319,5,0.4381868131868132
923,18,0,5,0,6,0,5,0,15,41,5,51,7,39,1,8,3,17,21,15,24,0,22,303,5,0.4105691056910569
924,22,1,7,0,1,0,10,0,11,37,2,56,2,24,4,16,6,26,7,21,57,0,31,341,5,0.5074404761904762
925,14,0,6,1,6,2,9,0,8,24,7,51,13,19,8,18,12,13,14,17,38,0,21,301,5,0.38738738738738737
926,15,0,2,1,6,0,5,0,13,19,3,31,9,36,2,14,4,19,12,15,26,0,17,249,5,0.4088669950738916
927,15,0,4,0,3,1,5,0,6,13,10,25,5,29,4,15,5,11,6,21,31,2,16,227,5,0.3620414673046252
928,21,0,1,1,3,0,2,1,4,31,2,44,6,23,9,14,3,12,7,10,41,0,36,271,5,0.4026745913818722
929,8,0,5,0,7,2,2,0,4,20,2,38,6,32,3,9,1,13,7,12,49,0,18,238,5,0.4343065693430657
930,14,6,5,2,4,1,8,1,18,40,5,60,6,36,0,21,6,27,5,15,56,2,37,375,5,0.3787878787878788
932,27,1,6,1,10,4,7,1,11,62,6,80,40,32,5,14,6,70,18,15,99,0,41,556,5,0.4911660777385159
933,37,0,1,0,7,1,5,0,12,51,5,41,18,21,3,15,1,20,11,12,58,0,37,356,5,0.454661558109834
934,18,1,3,0,4,7,2,0,10,17,6,61,8,19,4,11,1,24,7,8,53,1,18,283,5,0.46622734761120266
935,36,0,3,2,6,4,11,0,13,34,8,59,12,47,6,29,14,13,48,17,98,0,41,501,5,0.44257950530035334
937,25,1,4,0,7,5,0,0,1,22,2,20,5,20,6,8,2,0,34,10,26,0,24,222,5,0.43023255813953487
938,15,2,9,1,6,4,2,0,4,15,5,22,7,22,7,10,4,3,27,7,56,0,24,252,5,0.4144736842105263
939,14,3,1,1,3,0,0,0,3,14,2,10,2,16,3,13,2,4,10,14,35,2,24,176,5,0.4074074074074074
940,13,1,9,1,6,3,2,0,12,17,3,28,3,23,1,9,2,2,17,14,31,0,27,224,5,0.4409448818897638
1090,25,0,1,0,3,3,1,0,7,10,4,64,4,25,3,11,0,10,7,2,28,0,41,249,5,0.3890625
2524,26,0,3,0,2,0,4,0,13,25,4,65,12,19,4,12,2,8,3,3,43,1,33,282,5,0.375
2573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
