SEZIONE,REVOLUZIONE CIVICA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,RICONQUISTARE L'ITALIA,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CALENDA SINDACO,MPL MOVIMENTO POLITICO LIBERTAS,PARTITO COMUNISTA MARCO RIZZO,TOTALE,MUNICIPIO,AFFLUENZA
2473,1,27,8,5,7,64,5,0,23,31,0,18,81,22,56,2,58,1,3,412,15,0.5182389937106918
2474,1,27,10,9,10,74,3,0,31,34,3,22,59,21,124,5,79,0,1,513,15,0.5145436308926781
2475,1,8,7,3,2,71,1,0,17,33,1,15,71,30,58,6,33,1,3,361,15,0.4775132275132275
2476,0,26,6,3,8,59,1,0,19,36,4,16,88,56,86,6,48,0,1,463,15,0.4439117929050815
2477,2,16,6,10,27,67,3,2,35,38,0,10,73,45,79,4,22,1,5,445,15,0.46743697478991597
2478,0,22,13,9,25,70,2,0,17,13,3,19,117,24,27,7,114,0,1,483,15,0.45695364238410596
2479,0,17,4,3,6,72,1,1,19,16,0,6,58,11,31,7,20,0,3,275,15,0.4774305555555556
2480,1,6,8,3,2,48,0,1,22,24,0,8,77,9,25,3,14,0,5,256,15,0.4514991181657848
2481,0,39,14,4,11,93,8,0,22,26,0,8,76,7,25,4,79,0,5,421,15,0.5282308657465495
2482,0,22,7,4,6,67,6,3,14,18,1,15,56,10,51,8,46,0,3,337,15,0.42177722152690866
2483,1,20,6,2,6,86,2,2,34,43,0,12,58,16,34,16,27,1,12,378,15,0.4713216957605985
2484,0,17,10,3,9,94,4,2,19,16,1,5,54,11,39,6,28,1,2,321,15,0.42971887550200805
2485,0,21,22,0,1,56,4,1,17,34,1,10,65,10,36,11,32,1,9,331,15,0.4521857923497268
2486,2,11,7,5,5,43,4,2,17,27,2,7,52,9,27,6,39,0,2,267,15,0.5225048923679061
2487,1,11,19,6,9,56,4,1,22,51,3,10,103,8,35,7,55,0,1,402,15,0.49325153374233127
2488,1,5,3,3,1,20,0,0,7,17,1,1,38,8,26,4,5,0,0,140,15,0.2491103202846975
2489,0,17,16,3,3,65,5,1,26,27,2,14,68,12,29,1,70,1,10,370,15,0.5211267605633803
2490,0,24,11,3,0,88,7,3,17,29,0,8,61,15,41,4,36,0,5,352,15,0.5168869309838473
2491,1,11,10,1,2,74,4,2,15,33,1,12,53,10,36,7,30,0,1,303,15,0.4220055710306407
2492,0,19,18,3,4,71,1,0,17,38,2,9,69,16,22,0,51,0,3,343,15,0.5157894736842106
2493,1,24,15,4,7,67,3,2,30,27,1,10,50,11,38,3,31,0,8,332,15,0.5163297045101088
2494,0,4,0,0,0,16,1,1,7,20,1,4,68,5,18,1,4,1,2,153,15,0.36
2495,1,10,3,4,0,22,2,4,18,20,0,3,71,8,16,0,5,0,4,191,15,0.305111821086262
2496,1,11,6,2,5,43,0,4,15,28,0,11,50,10,28,4,9,0,4,231,15,0.4081272084805654
2497,1,7,4,3,0,42,5,0,28,12,2,9,68,14,36,5,21,0,2,259,15,0.43676222596964587
2498,2,20,20,5,19,62,1,2,20,44,2,43,85,24,52,3,44,0,7,455,15,0.47643979057591623
2499,0,13,21,5,8,46,1,1,33,27,1,45,86,16,50,8,23,0,3,387,15,0.45798816568047335
2500,0,12,7,7,3,56,2,3,18,32,1,14,79,13,46,5,21,1,7,327,15,0.39492753623188404
2501,0,6,3,1,5,43,2,0,17,10,0,10,66,10,53,3,21,0,2,252,15,0.4540540540540541
2502,2,13,3,0,3,36,1,3,14,27,1,6,79,12,38,8,39,1,3,289,15,0.4594594594594595
2503,1,25,2,0,9,59,0,2,15,21,1,24,104,7,29,2,24,1,4,330,15,0.5045871559633027
2504,2,15,4,8,7,61,1,2,31,47,2,14,93,16,91,4,39,0,1,438,15,0.36168455821635015
2505,1,15,6,6,10,44,0,1,35,42,4,21,82,24,75,4,15,0,5,390,15,0.30115830115830117
2506,3,19,12,10,3,64,0,0,35,40,1,35,102,21,90,6,0,1,1,443,15,0.38091143594153054
2507,0,12,2,4,5,65,1,1,26,40,0,25,113,15,75,6,31,0,1,422,15,0.3616109682947729
2508,0,28,10,1,7,87,1,3,37,35,0,20,105,18,57,10,27,0,6,452,15,0.4090497737556561
2509,2,30,12,3,8,107,7,5,34,35,0,17,99,24,87,6,39,1,9,525,15,0.46875
2598,0,2,0,0,0,4,0,0,0,0,0,1,2,0,1,0,2,0,0,12,15,
2600,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,0,0,1,9,15,
