SEZIONE,SALVATORE BASILE,DANIELE TORQUATI,MARIO IMPROTA,IRENE BADARACCO,PAOLO COSCIONE,ANDREA SIGNORINI,TOMMASO MARTELLI,MICHELINA BOSSA,MARCO BERTUCCELLI,TOTALE,AFFLUENZA
2462,0.0,156.0,2.0,24.0,1.0,146.0,75.0,0.0,3.0,407.0,0.5756718528995757
2463,0.0,138.0,3.0,13.0,2.0,101.0,77.0,0.0,2.0,336.0,0.5874125874125874
2464,1.0,124.0,0.0,13.0,0.0,148.0,115.0,0.0,1.0,402.0,0.5877192982456141
2465,0.0,110.0,1.0,42.0,1.0,145.0,80.0,1.0,1.0,381.0,0.538135593220339
2466,1.0,128.0,1.0,73.0,1.0,179.0,71.0,0.0,4.0,458.0,0.5216400911161732
2467,0.0,72.0,0.0,61.0,0.0,129.0,15.0,1.0,2.0,280.0,0.5194805194805194
2468,3.0,132.0,0.0,49.0,0.0,176.0,38.0,0.0,3.0,401.0,0.545578231292517
2469,1.0,90.0,0.0,28.0,0.0,131.0,45.0,1.0,6.0,302.0,0.49589490968801314
2470,1.0,110.0,2.0,40.0,4.0,269.0,143.0,0.0,0.0,569.0,0.5524271844660195
2471,0.0,114.0,1.0,45.0,0.0,167.0,45.0,0.0,2.0,374.0,0.47044025157232705
2472,0.0,108.0,1.0,54.0,0.0,229.0,59.0,1.0,0.0,452.0,0.48394004282655245
2473,1.0,135.0,0.0,63.0,0.0,183.0,63.0,1.0,3.0,449.0,0.5647798742138365
2474,1.0,149.0,0.0,72.0,4.0,237.0,91.0,0.0,3.0,557.0,0.5586760280842528
2475,1.0,107.0,0.0,52.0,2.0,187.0,35.0,1.0,3.0,388.0,0.5132275132275133
2476,0.0,117.0,0.0,66.0,4.0,267.0,48.0,0.0,1.0,503.0,0.4822627037392138
2477,2.0,148.0,2.0,80.0,0.0,219.0,23.0,1.0,5.0,480.0,0.5042016806722689
2478,0.0,141.0,0.0,38.0,2.0,212.0,123.0,0.0,1.0,517.0,0.489120151371807
2479,0.0,107.0,1.0,37.0,0.0,114.0,20.0,0.0,3.0,282.0,0.4895833333333333
2480,1.0,74.0,1.0,48.0,0.0,123.0,15.0,0.0,5.0,267.0,0.4708994708994709
2481,0.0,191.0,0.0,53.0,1.0,126.0,82.0,0.0,6.0,459.0,0.5759096612296111
2482,0.0,118.0,3.0,41.0,1.0,145.0,50.0,1.0,3.0,362.0,0.4530663329161452
2483,1.0,136.0,2.0,83.0,0.0,139.0,27.0,1.0,12.0,401.0,0.5
2484,0.0,148.0,2.0,40.0,1.0,121.0,29.0,1.0,2.0,344.0,0.4605087014725569
2485,0.0,122.0,1.0,57.0,1.0,137.0,33.0,1.0,9.0,361.0,0.4931693989071038
2486,3.0,83.0,2.0,47.0,2.0,103.0,40.0,0.0,3.0,283.0,0.5538160469667319
2487,1.0,120.0,1.0,81.0,3.0,159.0,56.0,0.0,9.0,430.0,0.5276073619631901
2488,1.0,37.0,1.0,29.0,1.0,89.0,6.0,2.0,8.0,174.0,0.3096085409252669
2489,0.0,125.0,1.0,63.0,2.0,128.0,71.0,1.0,12.0,403.0,0.5676056338028169
2490,0.0,138.0,3.0,49.0,0.0,131.0,37.0,0.0,5.0,363.0,0.5330396475770925
2491,1.0,104.0,2.0,51.0,1.0,122.0,30.0,0.0,1.0,312.0,0.43454038997214484
2492,0.0,114.0,0.0,48.0,2.0,107.0,54.0,0.0,3.0,328.0,0.4932330827067669
2493,1.0,131.0,2.0,62.0,1.0,112.0,35.0,0.0,8.0,352.0,0.5474339035769828
2494,0.0,23.0,1.0,29.0,1.0,98.0,5.0,1.0,2.0,160.0,0.3764705882352941
2495,1.0,44.0,4.0,42.0,0.0,99.0,5.0,0.0,4.0,199.0,0.31789137380191695
2496,1.0,77.0,3.0,44.0,0.0,105.0,9.0,0.0,4.0,243.0,0.4293286219081272
2497,1.0,66.0,0.0,44.0,2.0,137.0,22.0,0.0,2.0,274.0,0.4620573355817875
2498,2.0,145.0,1.0,73.0,2.0,216.0,44.0,0.0,7.0,490.0,0.5130890052356021
2499,0.0,107.0,1.0,72.0,1.0,209.0,23.0,0.0,3.0,416.0,0.49230769230769234
2500,0.0,104.0,3.0,60.0,1.0,160.0,21.0,1.0,7.0,357.0,0.4311594202898551
2501,0.0,65.0,0.0,34.0,0.0,146.0,21.0,0.0,2.0,268.0,0.4828828828828829
2502,2.0,73.0,3.0,44.0,1.0,147.0,41.0,1.0,3.0,315.0,0.5007949125596184
2503,1.0,107.0,2.0,40.0,1.0,174.0,25.0,1.0,4.0,355.0,0.5428134556574924
2504,2.0,107.0,2.0,84.0,0.0,227.0,34.0,0.0,1.0,457.0,0.37737407101568954
2505,3.0,86.0,1.0,88.0,4.0,214.0,15.0,0.0,5.0,416.0,0.32123552123552124
2506,3.0,116.0,0.0,87.0,2.0,258.0,26.0,1.0,1.0,494.0,0.4247635425623388
2507,0.0,118.0,1.0,73.0,0.0,247.0,32.0,0.0,1.0,472.0,0.40445586975149955
2508,0.0,145.0,3.0,83.0,2.0,221.0,27.0,0.0,7.0,488.0,0.4416289592760181
2509,4.0,185.0,6.0,75.0,0.0,236.0,45.0,1.0,9.0,561.0,0.5008928571428571
2598,0.0,8.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,17.0,
2600,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,
