SEZIONE,CANDIDATO,PREFERENZE,LISTA,MUNICIPIO
1424,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1425,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1426,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1427,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1428,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1429,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1295,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1296,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1297,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1383,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1384,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1385,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1386,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1387,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1388,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1389,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1390,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1391,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1392,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1393,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1394,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1395,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1396,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1397,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1398,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1399,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1400,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1401,FULVIO CILENTO,0.0,PARTITO COMUNISTA MARCO RIZZO,12
