SEZIONE,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PICCA PRESIDENTE,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,POTERE AL POPOLO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,REVOLUZIONE CIVICA,CALENDA SINDACO,RICONQUISTARE L'ITALIA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -,LISTA CIVICA GUALTIERI SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
2007,2,10,1,36,14,54,9,8,17,2,2,2,21,0,83,7,1,3,3,11,2,40,328,10,0.3956574185765983
2008,7,16,5,49,10,107,6,21,21,2,0,4,43,1,95,11,4,3,3,23,18,79,528,10,0.5101449275362319
2009,4,18,7,46,6,87,45,12,16,5,0,3,39,4,96,7,4,10,5,15,5,96,530,10,0.5480868665977249
2010,3,16,6,44,8,77,9,10,19,5,2,2,16,2,53,9,4,8,9,9,2,42,355,10,0.3784648187633262
2011,3,5,3,61,5,58,4,6,8,7,1,0,3,0,49,5,1,4,2,6,5,30,266,10,0.35561497326203206
2012,0,19,7,80,11,54,7,8,8,5,2,0,14,0,42,2,0,0,4,4,6,54,327,10,0.3797909407665505
2013,2,17,1,56,6,98,9,12,16,3,3,4,57,4,82,3,7,3,5,22,5,63,478,10,0.5532407407407407
2014,5,4,2,41,16,63,10,10,5,4,1,2,24,2,62,4,3,10,2,9,4,45,328,10,0.38497652582159625
2015,2,15,4,50,11,78,7,7,17,5,3,1,33,2,78,4,5,6,6,26,6,43,409,10,0.43696581196581197
2016,6,22,1,39,16,112,9,4,17,7,8,5,57,1,72,4,8,1,8,14,2,65,478,10,0.38548387096774195
2017,8,26,4,37,12,120,12,7,12,2,1,3,51,2,90,9,20,9,11,21,1,54,512,10,0.5094527363184079
2018,2,14,1,11,9,83,7,6,8,3,4,0,60,1,61,8,2,1,3,9,2,42,337,10,0.5037369207772795
2019,10,36,11,43,16,14,13,2,27,6,0,3,77,0,122,9,9,11,12,29,1,72,523,10,0.5293522267206477
2020,4,13,8,26,56,6,5,11,17,2,6,2,59,2,75,5,9,3,10,16,1,44,380,10,0.4947916666666667
2021,9,14,5,21,12,79,13,7,20,0,7,2,71,0,64,8,0,13,9,25,2,27,408,10,0.5411140583554377
2022,3,16,3,37,8,76,9,1,26,1,4,0,65,1,76,5,7,5,8,17,0,32,400,10,0.5056890012642224
2023,5,21,1,21,20,93,3,3,23,2,1,0,80,1,62,5,8,4,6,11,2,24,396,10,0.5169712793733682
2024,3,18,3,27,11,62,7,2,9,5,3,2,46,1,72,8,1,8,2,21,3,31,345,10,0.45695364238410596
2025,2,19,1,59,15,106,11,6,15,5,4,0,87,1,66,4,9,1,8,37,4,42,502,10,0.5534729878721059
2026,1,20,5,64,10,83,18,9,14,2,4,2,29,1,74,6,4,8,9,7,3,70,443,10,0.47532188841201717
2027,2,18,6,65,11,63,10,5,11,6,0,2,36,2,67,8,1,7,5,23,4,50,402,10,0.4696261682242991
2028,6,25,4,33,10,60,12,6,10,5,4,3,39,4,56,5,6,8,10,16,1,60,383,10,0.44328703703703703
2029,4,18,11,33,10,68,10,12,15,1,2,2,30,0,64,2,7,10,6,25,2,65,397,10,0.4391592920353982
2030,1,18,4,41,10,62,9,10,14,1,3,1,31,4,42,4,0,5,3,8,1,51,323,10,0.38406658739595717
2031,5,33,4,67,19,115,21,19,27,1,4,1,23,1,80,6,3,4,4,11,3,76,527,10,0.43232157506152585
2032,1,22,8,54,16,71,14,6,30,4,0,1,44,3,81,6,6,10,7,18,6,94,502,10,0.4084621643612693
2033,6,21,5,30,21,87,9,6,10,6,2,0,53,2,96,5,10,10,8,26,3,91,507,10,0.5080160320641283
2034,8,18,5,55,15,104,14,1,20,3,6,6,64,1,87,9,6,2,2,31,5,65,527,10,0.43338815789473684
2035,3,21,10,36,23,77,7,6,11,5,2,0,74,1,93,5,8,11,13,18,3,55,482,10,0.5379464285714286
2036,6,21,8,29,7,105,10,6,12,6,7,5,143,3,81,8,14,10,7,31,0,47,566,10,0.6240352811466373
