SEZIONE,CALENDA SINDACO,POTERE AL POPOLO,PARTITO COMUNISTA MARCO RIZZO,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,REVOLUZIONE CIVICA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LIBERISTI ITALIANI,TOTALE,MUNICIPIO,AFFLUENZA
2169,220,0,1,125,45,14,54,9,1,9,55,30,5,8,0,11,0,1,1,589,2,0.5647171620325983
2170,192,1,1,54,29,17,36,4,2,3,50,26,3,4,0,8,5,1,2,438,2,0.5725490196078431
2171,147,1,2,77,39,7,30,7,2,3,25,22,5,9,0,12,6,0,2,396,2,0.5210526315789473
2172,192,1,1,91,26,7,27,13,5,12,100,38,12,18,2,10,1,0,4,560,2,0.5685279187817259
2173,147,3,2,74,20,5,17,5,4,10,94,32,10,8,1,15,7,4,1,459,2,0.534965034965035
2174,191,5,6,82,29,16,33,5,4,7,94,21,14,11,2,17,9,0,0,546,2,0.5747368421052632
2175,100,1,1,81,8,19,19,4,3,4,82,22,14,17,3,8,10,2,0,398,2,0.6094946401225115
2176,117,2,3,88,20,14,17,2,9,9,103,21,4,14,2,14,13,3,0,455,2,0.5723270440251572
2177,119,2,1,66,32,25,27,6,5,7,116,27,17,14,2,15,9,2,0,492,2,0.5767878077373975
2178,136,4,3,61,17,8,13,3,7,11,123,33,13,12,1,15,13,8,1,482,2,0.5814234016887817
2179,108,6,1,46,22,9,14,5,1,1,84,45,13,6,2,17,10,0,0,390,2,0.5595408895265424
2180,102,5,7,76,21,9,19,3,3,13,89,28,9,10,0,16,7,1,0,418,2,0.5393548387096774
2181,21,0,0,68,22,2,15,8,2,4,90,25,14,21,0,13,15,3,0,323,2,0.4078282828282828
2182,103,0,2,66,16,10,13,3,6,8,96,25,14,10,0,23,16,1,1,413,2,0.5455746367239102
2535,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,8,2,0.14545454545454545
2569,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,2,
2570,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,
2571,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,2,
