SEZIONE,ENRICO MICHETTI,ROSARIO TREFILETTI,LUCA TEODORI,VIRGINIA RAGGI,FRANCESCO GRISOLIA,CRISTINA CIRILLO,FABRIZIO MARRAZZO,MARGHERITA CORRADO,GIAN LUCA GISMONDI,PAOLO BERDINI,GIUSEPPE CIRILLO,PAOLO ORONZO MAGLI,FABIOLA CENCIOTTI,ROBERTO GUALTIERI,CARLO CALENDA,MICAELA QUINTAVALLE,ELISABETTA CANITANO,CARLO PRIOLO,SERGIO IACOMONI,MONICA LOZZI,GILBERTO TROMBETTA,ANDREA BERNAUDO,TOTALE,AFFLUENZA
626,148,5,1,136,1,1,0,0,2,0,0,0,0,98,45,3,11,1,0,4,0,0,456,0.5247410817031071
627,190,0,3,168,0,1,1,1,2,1,1,0,2,91,41,2,3,0,0,4,1,0,512,0.4421416234887737
628,178,1,3,138,0,0,0,0,0,1,0,0,0,117,52,1,6,0,0,3,0,0,500,0.4770992366412214
629,86,2,1,47,0,4,2,0,1,3,0,0,2,49,23,1,3,0,0,0,0,0,224,0.45807770961145194
630,147,2,1,107,0,2,3,0,0,1,0,0,0,104,43,8,4,0,0,1,0,2,425,0.443169968717414
631,179,2,1,110,0,1,3,0,1,1,0,0,0,97,49,3,7,0,0,1,2,0,457,0.47406639004149376
632,70,2,1,61,1,2,0,0,0,3,0,0,3,72,43,2,2,0,0,0,1,0,263,0.4834558823529412
633,102,0,4,92,0,2,0,0,0,0,1,0,0,85,24,1,2,0,0,3,0,0,316,0.4633431085043988
634,141,0,1,61,2,0,3,0,0,1,0,0,0,92,34,0,0,0,0,1,0,0,336,0.44621513944223107
635,161,0,1,88,0,3,3,0,0,0,0,0,0,105,40,2,4,0,0,1,0,1,409,0.4706559263521289
636,151,3,3,112,1,2,0,0,0,0,2,0,2,94,45,0,0,0,0,0,0,0,415,0.5300127713920817
637,129,0,1,94,0,1,2,0,0,1,0,0,1,98,51,0,0,0,0,2,1,1,382,0.5642540620384048
638,96,1,1,93,1,2,0,2,3,0,0,0,0,129,52,1,0,4,0,0,0,0,385,0.5612244897959183
639,94,0,6,99,0,1,0,0,0,0,0,0,0,121,58,1,0,0,0,1,1,0,382,0.6725352112676056
640,150,1,0,82,1,1,0,2,0,0,0,0,0,102,65,1,0,0,0,0,0,0,405,0.6071964017991005
641,115,1,0,88,1,0,1,2,3,1,0,0,0,94,42,0,5,0,0,1,0,0,354,0.4597402597402597
642,140,2,0,74,0,0,0,1,0,0,0,0,0,110,37,1,0,0,1,0,2,0,368,0.5670261941448382
643,109,0,2,74,0,5,1,0,1,5,0,0,0,63,44,0,0,0,0,0,0,0,304,0.5250431778929189
644,129,1,1,95,0,0,1,0,1,4,0,0,0,148,73,0,2,0,0,0,0,0,455,0.5916775032509753
645,133,1,2,130,0,2,1,0,0,1,0,0,1,157,97,0,4,0,1,4,0,0,534,0.5810663764961915
646,128,0,0,90,0,2,1,0,1,6,0,0,2,135,87,0,2,0,1,4,0,0,459,0.5083056478405316
647,131,0,3,93,0,0,4,0,2,2,0,0,0,155,68,0,1,0,1,0,0,0,460,0.5897435897435898
648,132,0,3,126,0,3,1,0,0,0,0,0,1,203,87,2,3,0,0,1,3,1,566,0.5883575883575883
649,117,0,3,81,0,4,0,0,0,5,0,0,0,198,94,3,4,0,0,2,0,2,513,0.61437125748503
650,107,2,4,87,1,0,0,1,0,6,1,1,2,146,68,1,0,0,0,1,0,0,428,0.6045197740112994
651,131,0,0,122,0,0,2,0,2,0,0,0,1,221,105,1,3,0,0,0,0,0,588,0.6349892008639308
652,146,0,3,108,0,3,4,0,1,2,0,0,3,172,103,0,7,0,0,1,0,0,553,0.5748440748440748
653,94,0,1,102,0,3,0,0,0,3,0,1,0,150,96,4,2,1,0,1,1,0,459,0.6510638297872341
654,98,0,4,81,0,0,1,0,0,12,0,0,0,160,82,5,2,0,0,0,0,1,446,0.5792207792207792
655,218,0,0,160,0,4,1,0,0,2,0,4,0,115,49,2,1,1,2,3,1,0,563,0.44261006289308175
656,143,2,1,100,0,0,2,0,1,0,1,3,0,77,21,1,2,0,0,0,0,0,354,0.40273037542662116
657,175,1,2,138,0,2,0,0,1,0,0,0,0,142,57,5,2,0,0,1,0,0,526,0.515181194906954
658,94,0,0,60,0,2,0,0,0,2,0,0,0,69,18,0,1,0,0,1,0,0,247,0.3971061093247588
659,98,1,1,103,0,2,3,0,0,3,0,1,1,76,30,1,2,0,0,1,3,0,326,0.49319213313161875
660,94,1,6,77,0,1,2,0,2,0,0,0,1,62,7,1,3,0,0,1,0,0,258,0.4069400630914827
661,157,2,4,105,0,1,1,0,0,0,0,0,2,86,42,0,2,0,1,5,2,0,410,0.44711014176663033
662,224,0,1,141,0,2,2,0,1,2,0,0,0,107,56,1,2,0,0,2,2,0,543,0.4990808823529412
663,156,0,4,110,0,2,0,0,1,0,0,0,3,82,47,1,5,0,0,2,0,0,413,0.48191365227537925
664,150,0,1,95,0,2,1,0,0,2,0,0,3,79,33,4,4,0,0,1,0,0,375,0.4752851711026616
665,201,0,2,114,0,4,3,0,0,0,0,0,1,94,63,3,3,0,1,1,0,0,490,0.5632183908045977
666,180,0,2,109,0,1,0,0,1,0,0,1,3,92,54,1,0,0,0,3,6,6,459,0.5318655851680185
667,161,0,2,107,1,0,0,0,0,1,1,0,1,95,44,0,1,0,0,3,0,0,417,0.5036231884057971
668,180,2,3,175,1,2,0,4,0,2,0,0,4,122,60,2,7,0,1,1,4,2,572,0.4943820224719101
669,162,1,5,126,0,1,1,0,0,1,0,0,0,134,73,1,4,0,0,0,0,1,510,0.4857142857142857
670,185,2,13,158,0,1,3,0,0,0,0,0,1,98,47,3,4,0,0,2,0,0,517,0.4743119266055046
671,203,0,1,129,0,0,1,0,0,0,0,0,0,60,47,2,8,0,0,0,1,0,452,0.52989449003517
672,203,2,0,131,0,0,1,1,1,1,0,1,1,80,43,1,2,0,0,0,0,0,468,0.45481049562682213
673,169,4,6,126,0,0,2,0,4,0,0,0,3,70,51,0,2,0,0,1,0,1,439,0.5034403669724771
674,131,1,4,101,0,0,2,0,0,4,0,1,2,62,35,3,3,0,0,0,0,0,349,0.4423320659062104
675,163,0,2,127,0,1,0,0,1,1,1,0,0,64,28,1,1,1,0,1,0,0,392,0.4206008583690987
676,150,0,4,117,1,1,1,0,3,2,0,0,0,86,48,2,1,0,0,2,0,0,418,0.47072072072072074
677,112,0,0,66,0,2,1,0,0,0,0,0,0,31,14,0,1,0,0,0,0,0,227,0.44509803921568625
678,143,0,0,63,0,1,4,0,1,2,0,0,0,56,36,0,1,0,0,1,1,0,309,0.43892045454545453
679,168,0,0,147,0,1,1,0,2,0,0,0,1,96,37,2,2,0,0,1,0,0,458,0.4645030425963489
680,155,0,0,134,0,2,0,0,2,0,0,0,1,81,31,2,1,0,0,0,1,0,410,0.4664391353811149
681,191,0,3,143,0,3,3,1,1,5,0,0,1,69,23,5,0,0,0,3,2,0,453,0.45481927710843373
682,191,0,4,115,1,2,1,0,1,0,0,0,0,58,53,0,1,0,0,0,1,1,429,0.33230054221533695
683,219,0,4,150,1,6,1,0,0,0,0,0,0,93,38,2,1,0,0,1,2,0,518,0.7
684,124,0,3,68,0,1,0,0,1,0,0,0,2,61,20,4,7,0,0,0,0,0,291,0.27714285714285714
685,145,1,2,136,0,2,3,1,1,2,0,0,0,67,36,4,10,0,0,0,5,1,416,0.37545126353790614
686,198,2,0,139,1,1,0,1,0,1,0,0,2,68,40,1,1,0,0,3,0,0,458,0.4494602551521099
687,202,0,2,144,0,1,1,0,3,0,0,0,1,78,52,3,1,0,0,0,3,0,491,0.4024590163934426
688,179,1,3,134,0,1,1,1,1,0,1,0,0,103,48,2,2,0,0,0,4,0,481,0.3897893030794165
689,190,0,1,145,0,0,2,0,1,0,0,1,1,92,48,4,1,1,0,3,0,0,490,0.45202952029520294
690,176,1,3,129,0,3,1,0,1,0,0,1,0,76,28,1,1,0,0,0,0,0,421,0.5005945303210464
691,195,0,0,133,0,2,0,2,2,0,0,1,0,77,24,1,1,0,0,1,0,0,439,0.378448275862069
692,253,0,6,109,1,1,1,0,1,1,0,0,0,67,20,4,1,1,1,0,2,1,470,0.4351851851851852
693,245,0,6,98,0,1,1,0,1,0,2,0,0,95,16,2,2,0,2,0,0,0,471,0.46449704142011833
694,204,1,1,126,0,0,1,1,1,0,2,0,0,90,33,4,2,0,0,1,1,0,468,0.49159663865546216
695,90,2,2,25,0,0,0,0,0,1,0,0,0,118,19,0,0,0,0,0,0,0,257,0.4904580152671756
696,109,2,1,59,1,1,2,1,0,3,0,0,0,44,21,3,1,0,0,1,0,0,249,0.48443579766536965
697,130,1,3,103,0,2,0,1,0,2,0,0,1,130,33,3,4,0,0,0,2,0,415,0.5439056356487549
698,119,0,2,112,1,1,1,0,1,1,0,0,1,142,40,0,3,0,0,3,0,0,427,0.5207317073170732
699,115,0,1,102,6,4,0,1,0,0,1,1,0,89,42,2,3,0,0,1,0,0,368,0.43141852286049237
700,93,1,2,91,2,2,3,2,0,1,0,0,2,116,27,0,0,0,0,2,0,0,344,0.47844228094575797
701,100,0,2,104,1,1,0,0,0,1,0,0,1,69,34,0,3,0,0,0,2,1,319,0.43342391304347827
702,106,0,3,100,1,3,1,0,1,1,0,2,3,72,32,1,2,0,0,0,0,0,328,0.47262247838616717
703,80,1,2,44,0,1,1,0,1,1,0,0,3,53,17,2,19,0,0,0,0,1,226,0.41697416974169743
704,79,1,1,57,0,0,0,0,1,0,0,0,2,40,11,3,72,0,0,0,0,0,267,0.3755274261603376
705,122,1,8,86,0,0,0,0,3,1,1,0,0,109,22,0,4,0,1,0,2,0,360,0.4904632152588556
706,86,1,1,48,0,0,1,2,1,0,0,1,0,69,17,2,1,0,0,0,0,1,231,0.36608557844690964
707,147,0,0,94,0,0,2,0,0,1,0,0,0,117,37,2,0,0,0,1,0,0,401,0.4854721549636804
708,80,1,2,74,0,0,1,0,1,0,2,0,1,77,17,1,3,0,1,1,0,0,262,0.4463373083475298
709,200,2,3,111,0,0,1,0,0,1,0,0,1,65,39,3,1,0,0,0,0,0,427,0.4581545064377682
710,157,2,3,129,0,3,0,1,2,1,0,1,0,66,46,0,3,2,0,0,0,1,417,0.4843205574912892
711,146,0,2,126,0,2,3,0,0,2,0,0,0,79,29,2,2,0,1,3,0,0,397,0.44308035714285715
712,203,0,1,105,0,4,1,1,3,0,0,0,0,69,39,3,3,0,1,0,0,0,433,0.47167755991285404
713,162,0,0,123,0,2,2,0,0,0,0,0,0,66,41,3,0,0,1,0,0,0,400,0.4645760743321719
714,193,0,3,109,0,4,0,0,0,0,0,0,0,68,51,1,1,0,1,3,0,1,435,0.46325878594249204
715,171,0,5,95,1,2,1,0,2,0,1,0,0,76,47,5,2,0,0,0,2,0,410,0.4149797570850202
716,185,0,2,166,0,2,2,1,2,2,0,0,0,70,51,2,1,0,0,2,0,0,488,0.4793713163064833
717,152,1,3,124,0,0,0,0,0,0,0,1,0,97,52,1,4,0,0,5,0,1,441,0.4651898734177215
718,177,1,1,104,0,1,0,0,3,0,0,2,1,58,37,0,5,0,0,1,0,0,391,0.4665871121718377
719,152,1,4,121,0,1,0,1,2,0,0,0,0,76,35,0,7,0,0,1,0,0,401,0.4831325301204819
720,150,1,4,79,0,4,3,1,1,0,0,0,0,88,37,1,0,0,0,3,1,0,373,0.4257990867579909
721,136,0,1,102,0,1,2,0,0,0,0,0,0,66,31,1,1,0,0,1,0,0,342,0.4165651644336175
722,134,1,6,126,1,3,3,0,3,0,1,0,0,69,36,0,1,0,0,0,2,0,386,0.43615819209039547
723,158,3,1,120,0,1,1,0,2,0,0,0,0,70,42,1,2,0,1,1,0,0,403,0.4482758620689655
724,156,1,1,136,0,3,3,0,1,0,0,0,0,76,31,1,3,0,0,1,0,0,413,0.4796747967479675
725,128,0,3,101,0,3,1,0,0,0,0,0,1,67,31,3,2,0,0,7,1,0,348,0.4355444305381727
726,148,1,1,75,0,3,4,0,3,2,0,0,2,36,26,0,1,0,0,0,0,0,302,0.4507462686567164
727,129,1,0,84,1,0,2,0,1,1,0,0,1,65,23,1,1,0,0,0,0,0,310,0.49759229534510435
728,174,1,0,119,0,2,1,0,2,0,0,0,0,84,30,1,1,0,2,2,1,0,420,0.47565118912797283
729,127,1,0,76,0,2,0,0,1,0,0,0,0,72,30,2,4,0,1,1,0,0,317,0.4766917293233083
730,164,2,1,111,1,1,0,1,4,1,0,0,0,114,50,0,3,0,0,1,6,0,460,0.45634920634920634
731,130,0,1,84,0,2,1,0,0,0,0,0,2,65,34,3,2,0,0,1,0,0,325,0.388755980861244
732,132,1,0,85,0,2,1,0,2,0,0,0,0,57,20,0,10,0,0,1,1,0,312,0.40414507772020725
733,156,0,2,86,1,1,2,0,6,0,0,0,0,81,40,0,3,0,0,4,0,0,382,0.4878671775223499
734,113,0,2,69,0,1,0,1,0,0,1,0,0,47,22,0,4,0,0,1,1,0,262,0.45884413309982486
735,101,0,0,62,1,1,0,0,1,0,0,0,1,43,9,1,4,0,0,0,0,0,224,0.37583892617449666
736,82,0,3,65,0,3,0,0,1,1,0,0,1,28,21,2,1,1,0,3,0,1,213,0.4152046783625731
737,82,3,4,44,0,3,1,0,0,1,0,0,0,34,7,0,2,0,0,0,1,0,182,0.34210526315789475
738,79,1,5,80,0,3,0,0,2,0,0,0,0,36,21,1,5,0,0,3,1,0,237,0.3444767441860465
739,81,1,0,69,0,0,0,0,0,2,0,0,1,27,14,1,2,0,0,10,2,0,210,0.3488372093023256
740,63,0,0,64,0,1,0,1,0,1,0,0,0,23,8,0,8,0,0,3,3,0,175,0.34930139720558884
741,97,0,2,53,0,2,1,0,1,0,0,0,2,32,11,3,6,0,0,0,0,0,210,0.2912621359223301
742,67,0,3,47,1,2,1,0,0,0,0,0,0,13,5,1,5,0,0,1,1,1,148,0.23052959501557632
743,186,0,2,111,0,4,1,0,1,1,0,0,0,44,30,4,1,0,2,6,5,0,398,0.31412786108918705
744,44,0,0,26,0,1,0,0,1,0,0,0,0,20,8,1,3,1,0,0,0,0,105,0.2079207920792079
745,114,0,0,70,0,3,2,0,2,1,0,0,2,53,10,0,2,0,0,4,0,0,263,0.2951739618406285
746,59,2,2,38,1,4,1,0,5,1,0,0,1,23,10,5,4,0,0,1,0,0,157,0.30134357005758156
747,82,1,0,33,1,1,1,0,0,2,0,0,1,33,5,1,1,0,0,1,0,0,163,0.26121794871794873
748,64,0,0,42,0,2,0,0,1,0,0,0,0,55,11,1,2,0,0,1,1,0,180,0.3098106712564544
749,149,1,1,109,1,2,2,1,5,4,1,1,3,74,30,2,7,0,1,1,0,0,395,0.4355016538037486
750,92,1,0,91,0,0,0,0,3,0,0,0,1,42,18,0,1,0,0,1,1,0,251,0.371301775147929
751,78,0,10,36,0,5,1,0,2,0,0,0,0,35,10,0,1,0,0,1,0,1,180,0.24193548387096775
752,115,0,4,48,0,0,2,0,4,0,0,1,1,40,13,0,6,0,0,2,0,0,236,0.3319268635724332
753,126,0,4,80,0,2,0,0,8,1,0,1,0,55,38,3,5,0,1,3,0,0,327,0.44070080862533695
754,176,1,1,120,0,0,0,0,3,1,1,0,0,61,46,1,0,0,0,2,0,0,413,0.5274584929757343
755,160,1,1,119,0,3,2,2,2,0,0,0,2,67,56,1,0,0,0,3,0,0,419,0.5042117930204573
756,142,1,2,121,0,0,1,0,1,0,1,0,2,75,41,3,4,0,1,0,0,0,395,0.48946716232961585
757,165,0,3,102,0,5,3,0,1,1,0,0,0,67,49,1,2,0,0,3,0,0,402,0.5275590551181102
758,171,1,1,115,1,2,0,5,4,0,0,1,2,68,45,0,1,0,1,4,1,0,423,0.43743536711478803
759,245,2,8,157,0,4,0,0,0,0,0,0,1,100,61,0,2,0,1,0,1,1,583,0.6085594989561587
760,188,0,4,132,0,0,1,0,2,3,0,0,2,70,32,2,1,0,2,1,0,0,440,0.44715447154471544
761,246,1,3,126,1,5,1,0,4,0,0,0,1,104,38,0,0,0,0,5,0,1,536,0.5525773195876289
762,225,0,2,174,0,1,4,0,9,0,0,0,2,78,48,3,11,0,0,3,2,0,562,0.5004452359750667
763,211,1,7,197,0,4,0,1,5,2,0,1,0,83,47,0,3,0,0,2,0,0,564,0.4395946999220577
764,215,3,1,138,1,1,3,0,5,0,0,0,2,83,30,0,0,0,0,6,1,0,489,0.39531123686337916
765,191,2,2,182,0,3,1,0,0,0,0,0,3,94,36,0,2,0,1,6,0,0,523,0.42416869424168696
766,221,0,4,156,1,1,4,0,3,0,0,0,1,84,24,1,2,0,0,3,0,0,505,0.44143356643356646
767,125,0,1,117,1,0,1,1,1,0,0,0,0,69,27,0,0,0,0,3,1,8,355,0.4266826923076923
768,167,1,4,110,0,1,0,1,0,2,0,0,0,52,35,2,0,0,0,2,0,0,377,0.44300822561692127
769,205,0,4,164,0,0,0,0,1,3,0,1,0,99,39,1,4,0,2,6,1,0,530,0.44425817267393125
770,226,1,7,157,0,0,4,0,0,0,0,0,1,75,40,2,1,0,0,0,0,0,514,0.4165316045380875
771,186,1,2,129,0,3,1,0,1,0,0,0,0,74,37,1,3,0,1,2,0,0,441,0.41721854304635764
772,177,1,1,182,0,1,3,0,1,1,1,0,0,72,50,3,4,1,4,1,0,1,504,0.5544554455445545
773,161,0,2,84,0,1,0,0,1,0,1,0,0,76,38,1,0,0,4,1,2,0,372,0.485006518904824
774,133,0,3,84,0,0,1,0,1,1,0,0,0,51,24,1,2,0,1,4,0,0,306,0.4722222222222222
775,166,1,2,123,0,1,2,0,0,0,0,1,0,60,35,1,3,0,4,1,0,1,401,0.29880774962742174
776,200,2,1,130,1,1,2,0,1,0,0,0,0,58,33,0,0,0,0,2,0,0,431,0.3780701754385965
777,260,0,3,151,0,2,1,1,2,0,1,0,0,66,34,0,0,0,0,0,0,0,521,0.5127952755905512
778,201,0,3,117,0,1,2,0,1,1,0,0,2,92,52,1,1,1,0,0,0,0,475,0.44896030245746693
779,201,0,3,126,0,4,5,0,0,0,0,0,0,64,25,0,1,0,0,0,0,1,430,0.4451345755693582
780,218,0,2,163,0,5,4,0,4,2,1,0,0,105,64,3,0,0,0,2,0,1,574,0.5839267548321465
781,214,2,1,126,0,0,2,2,6,0,0,0,0,64,29,0,4,0,0,1,0,0,451,0.3608
782,218,0,2,118,0,2,1,0,1,1,0,0,1,77,38,0,2,0,1,6,2,0,470,0.42076991942703673
783,190,2,0,95,0,1,1,0,1,0,1,1,1,62,49,1,0,0,0,0,0,1,406,0.4661308840413318
784,218,0,7,127,1,2,2,0,3,0,0,0,1,77,62,0,0,0,0,2,1,0,503,0.45978062157221206
785,276,0,2,115,2,4,3,1,2,0,0,0,0,82,54,2,5,0,0,6,0,2,556,0.48986784140969164
786,158,2,3,84,1,1,0,0,1,0,1,0,0,75,29,2,2,0,0,2,1,0,362,0.5020804438280166
787,226,2,2,135,0,2,2,0,3,0,0,0,0,69,49,1,1,0,0,0,0,1,493,0.473583093179635
788,239,0,5,143,0,1,4,0,1,0,0,0,0,61,40,3,4,0,0,1,1,1,504,0.45528455284552843
789,246,1,4,158,0,0,3,1,1,1,0,1,0,74,24,0,2,0,2,1,0,0,519,0.4966507177033493
790,192,1,0,102,0,3,2,0,1,1,0,0,1,75,26,6,2,0,0,5,1,0,418,0.4935064935064935
791,173,1,1,142,0,3,0,0,0,0,2,0,0,80,30,1,3,0,0,1,0,0,437,0.4796926454445664
792,217,1,0,143,1,1,0,0,0,1,0,5,0,95,45,3,0,0,2,0,0,0,514,0.4849056603773585
793,209,0,0,76,1,1,1,0,0,0,0,2,1,55,67,2,4,0,0,0,0,0,419,0.4124015748031496
794,187,2,7,147,0,0,1,0,1,0,0,0,2,75,35,0,1,0,0,1,0,0,459,0.45132743362831856
795,262,3,5,174,0,2,1,0,2,2,0,0,1,141,56,3,0,1,0,2,0,0,655,0.5499580184718724
796,189,1,1,116,0,3,0,0,2,0,0,0,2,86,42,3,1,0,0,2,0,0,448,0.4431256181998022
797,212,3,3,145,0,5,1,0,0,1,0,0,1,75,53,2,3,0,0,9,0,1,514,0.4975798644724105
798,199,1,2,109,0,2,2,1,2,0,2,0,0,77,48,2,0,0,0,2,0,1,450,0.5325443786982249
799,210,2,5,110,0,2,2,1,4,2,0,0,1,97,32,2,4,0,0,7,0,0,481,0.466537342386033
800,220,1,3,145,3,1,6,0,2,1,0,0,2,115,31,2,0,0,0,2,0,0,534,0.5308151093439364
801,276,1,0,161,0,3,4,0,1,0,0,0,1,105,50,1,1,0,0,2,0,0,606,0.520618556701031
802,265,2,2,159,0,2,2,0,1,3,0,0,1,91,44,2,1,0,0,1,2,1,579,0.48860759493670886
803,162,1,2,140,0,0,1,0,1,2,1,0,0,103,45,2,4,0,0,4,2,0,470,0.5064655172413793
804,211,0,3,94,3,0,3,0,1,0,0,0,0,53,42,2,3,0,1,1,0,1,418,0.4489795918367347
805,198,0,3,119,0,1,2,0,0,0,0,0,2,72,42,0,1,0,0,2,1,0,443,0.5305389221556887
806,149,0,5,95,0,0,0,0,1,0,1,0,0,87,58,0,3,0,1,1,0,1,402,0.5167095115681234
807,195,1,2,141,0,0,2,0,1,0,1,0,2,96,44,2,3,0,1,1,0,0,492,0.5267665952890792
808,170,1,1,145,0,1,2,0,1,0,0,0,0,91,36,1,1,0,1,1,0,0,452,0.520138089758343
809,174,1,2,149,0,0,3,0,0,1,0,0,1,73,39,1,1,0,0,0,1,1,447,0.5359712230215827
810,121,0,7,120,1,3,0,0,0,2,0,0,2,61,25,1,3,0,0,4,0,0,350,0.4171632896305125
811,163,1,1,113,2,3,1,0,3,1,0,1,0,80,44,1,2,0,0,0,0,0,416,0.47434435575826683
812,189,4,7,105,0,2,1,0,2,1,0,1,1,90,45,1,0,0,0,3,3,3,458,0.5504807692307693
813,124,0,5,96,0,3,0,0,1,2,0,0,1,118,32,2,4,2,0,8,0,0,398,0.5429740791268759
814,90,1,0,46,0,2,2,0,2,1,0,0,0,45,12,3,1,0,0,1,0,0,206,0.3473861720067454
815,146,1,2,138,0,4,2,0,0,0,0,0,0,68,33,2,2,0,0,1,1,0,400,0.423728813559322
816,142,2,1,86,0,0,0,0,0,0,0,2,0,61,28,6,5,0,0,2,0,0,335,0.3594420600858369
817,49,1,0,23,0,1,3,0,1,0,0,1,0,52,17,1,1,0,0,5,0,1,156,0.35214446952595935
818,168,2,2,95,0,1,1,0,1,1,0,0,3,56,38,2,0,0,0,0,0,0,370,0.4534313725490196
819,164,1,2,137,0,0,0,0,0,0,0,0,0,156,58,0,6,0,0,0,0,0,524,0.5314401622718052
820,153,1,1,92,0,0,0,0,2,3,0,0,0,148,69,0,4,0,0,1,0,0,474,0.5203073545554336
821,223,0,0,86,0,2,0,1,1,2,0,0,9,221,93,0,0,0,0,5,0,1,644,0.5974025974025974
822,192,0,2,145,1,3,1,1,1,3,0,0,12,159,80,2,2,0,0,3,0,0,607,0.5904669260700389
823,193,1,4,143,0,0,1,1,1,1,5,0,7,213,52,0,3,0,2,6,0,0,633,0.5364406779661017
824,220,0,4,133,0,1,4,1,1,2,0,0,0,129,60,1,3,0,0,3,2,0,564,0.47
825,225,1,4,200,0,2,2,0,1,0,0,0,0,117,59,3,4,0,0,5,0,0,623,0.5375323554788611
826,160,0,4,113,1,1,1,0,1,4,0,0,0,139,60,0,7,0,0,2,0,0,493,0.5405701754385965
827,117,0,6,123,1,5,1,0,1,2,0,0,1,119,86,5,4,0,0,2,0,0,473,0.518640350877193
828,55,1,3,27,0,1,0,0,0,5,0,0,0,87,107,1,1,0,0,0,2,0,290,0.5263157894736842
829,84,0,3,35,0,2,0,1,1,4,0,0,1,83,92,2,3,0,0,0,0,0,311,0.506514657980456
830,58,0,1,51,0,3,1,0,0,8,0,0,0,145,125,0,0,0,0,0,0,1,393,0.6018376722817764
831,78,0,1,36,0,0,0,0,1,1,0,0,0,137,122,4,5,0,2,0,1,0,388,0.5987654320987654
832,62,0,0,23,0,0,0,1,0,1,0,0,1,71,142,0,0,1,0,0,1,1,304,0.562962962962963
833,66,0,3,36,0,1,0,0,0,2,0,0,0,154,154,2,3,0,0,0,0,0,421,0.5839112343966713
834,51,0,2,19,0,1,0,1,0,1,0,0,0,136,109,3,1,0,0,1,0,1,326,0.5326797385620915
835,70,0,2,40,0,3,0,0,0,0,0,1,0,171,131,0,5,0,0,1,0,2,426,0.568
836,100,0,2,39,1,0,1,0,1,5,0,0,0,135,78,0,7,0,1,0,0,0,370,0.5225988700564972
837,113,0,5,43,0,0,3,1,0,0,0,0,0,192,132,2,3,0,0,0,0,1,495,0.6556291390728477
838,125,1,3,60,0,1,0,0,0,3,0,1,1,181,142,2,0,0,0,0,2,0,522,0.611957796014068
839,121,0,1,56,1,3,0,2,0,5,0,0,3,141,110,2,3,0,0,1,1,2,452,0.5621890547263682
840,62,0,2,19,0,0,0,0,0,1,0,1,0,66,71,0,0,0,1,0,0,0,223,0.5506172839506173
841,100,0,7,43,0,0,0,0,0,4,0,0,0,138,133,1,2,0,0,1,0,1,430,0.6534954407294833
842,158,1,9,175,0,2,2,2,0,4,0,0,0,147,107,1,7,0,0,4,0,1,620,0.5575539568345323
843,88,1,3,32,0,0,2,0,0,1,0,0,0,137,189,0,3,0,1,0,0,0,457,0.614247311827957
844,177,2,1,152,0,1,3,0,1,0,2,0,2,121,86,2,0,0,0,24,1,0,575,0.5491881566380133
845,112,1,1,31,0,0,1,0,0,0,0,0,0,162,220,0,2,0,0,0,0,0,530,0.7057256990679095
846,87,0,1,64,0,0,2,0,1,1,0,0,0,196,135,1,1,0,0,1,0,0,490,0.5982905982905983
847,76,0,4,40,2,1,2,0,0,5,0,0,1,179,90,1,4,0,0,0,0,1,406,0.5884057971014492
848,126,1,5,158,0,1,2,1,1,1,1,0,0,131,61,1,3,0,0,21,0,0,514,0.39599383667180277
849,229,3,7,138,0,0,1,0,2,0,0,0,0,174,90,0,3,0,0,5,0,0,652,0.5601374570446735
850,216,0,3,168,1,5,1,0,0,5,0,0,3,110,107,1,2,0,1,2,5,2,632,0.5868152274837511
851,73,0,4,68,0,3,0,0,1,0,0,0,0,222,173,0,5,0,0,0,0,1,550,0.6186726659167604
852,89,2,1,64,1,2,1,0,1,4,0,0,0,197,53,2,5,0,0,0,2,0,424,0.5059665871121718
853,79,1,4,11,0,2,1,0,0,0,0,0,0,126,198,0,0,0,0,1,0,1,424,0.5513654096228868
854,129,0,4,80,1,3,1,1,2,2,0,0,0,169,109,0,4,0,0,0,1,0,506,0.5554335894621295
855,107,1,4,62,0,0,5,0,0,4,0,0,4,159,109,6,4,0,0,2,0,0,467,0.7140672782874617
856,159,1,1,141,0,2,0,0,0,1,0,0,0,90,97,2,1,0,1,0,0,0,496,0.9744597249508841
857,74,1,5,61,0,1,1,1,1,1,0,0,0,167,93,1,2,0,2,1,3,0,415,0.6494522691705791
858,98,0,3,62,0,0,0,0,2,2,0,0,1,164,98,1,2,0,0,2,1,0,436,0.7927272727272727
859,155,0,4,84,0,1,1,0,0,3,0,0,1,206,124,1,2,2,0,0,1,1,586,0.839541547277937
860,67,1,2,72,0,3,0,0,1,1,0,0,0,120,44,1,2,0,3,3,1,0,321,0.29503676470588236
861,117,0,1,57,0,0,2,0,0,3,0,0,0,161,78,1,3,0,0,1,0,0,424,0.49417249417249415
862,160,2,6,151,0,1,1,0,1,4,0,0,0,157,64,0,3,0,0,29,0,1,580,0.8964451313755796
863,98,0,2,92,0,0,0,0,0,1,1,0,0,157,92,3,4,0,0,11,0,0,461,0.5341830822711472
864,116,0,3,74,0,0,0,0,0,6,0,0,3,177,113,0,0,0,0,3,1,0,496,0.6026731470230863
865,143,0,4,88,1,2,0,0,0,1,0,0,2,160,135,2,5,0,1,1,1,0,546,0.5747368421052632
