SEZIONE,ENRICO MICHETTI,ROSARIO TREFILETTI,LUCA TEODORI,VIRGINIA RAGGI,FRANCESCO GRISOLIA,CRISTINA CIRILLO,FABRIZIO MARRAZZO,MARGHERITA CORRADO,GIAN LUCA GISMONDI,PAOLO BERDINI,GIUSEPPE CIRILLO,PAOLO ORONZO MAGLI,FABIOLA CENCIOTTI,ROBERTO GUALTIERI,CARLO CALENDA,MICAELA QUINTAVALLE,ELISABETTA CANITANO,CARLO PRIOLO,SERGIO IACOMONI,MONICA LOZZI,GILBERTO TROMBETTA,ANDREA BERNAUDO,TOTALE,AFFLUENZA
64,101,2,3,29,0,1,1,0,0,1,0,0,1,146,209,0,0,0,0,2,1,0,497,0.650523560209424
65,169,0,2,51,0,0,0,2,0,5,0,0,1,148,180,2,3,0,0,0,0,5,568,0.6859903381642513
66,124,1,6,51,0,0,2,0,0,0,0,1,2,119,137,0,2,0,0,0,0,0,445,0.536144578313253
67,135,2,4,89,1,1,1,0,1,2,0,0,0,133,95,3,4,0,1,1,0,0,473,0.4748995983935743
68,136,2,7,96,0,0,0,0,0,6,0,0,0,150,114,1,7,1,0,0,1,1,522,0.6133960047003525
69,133,0,3,82,1,1,1,1,0,3,0,0,0,180,125,1,11,0,0,5,2,1,550,0.5997818974918212
70,108,0,1,69,0,2,2,0,0,0,0,0,0,133,111,0,7,0,3,1,0,1,438,0.6143057503506312
71,117,0,1,94,0,0,1,0,0,0,1,0,1,169,101,0,5,0,2,0,0,0,492,0.5296017222820237
72,102,0,3,101,0,1,1,0,0,1,0,0,1,165,102,4,4,0,1,4,0,0,490,0.5450500556173526
73,93,1,3,93,1,3,1,0,0,0,4,0,1,283,150,3,2,0,1,1,1,0,641,0.6163461538461539
74,71,0,4,59,0,2,0,0,1,3,0,1,0,190,140,6,3,0,0,0,1,2,483,0.637203166226913
75,131,0,7,82,0,2,1,1,1,1,0,0,0,237,174,3,1,0,0,0,0,4,645,0.6534954407294833
76,121,1,5,66,0,1,2,0,0,5,0,0,2,197,165,3,6,0,1,1,0,2,578,0.6351648351648351
77,112,0,3,75,1,2,0,0,1,11,0,0,0,274,165,1,6,0,0,2,2,2,657,0.6616314199395771
78,87,1,2,81,0,1,0,0,0,5,0,0,0,136,109,1,2,0,2,0,2,0,429,0.5375939849624061
79,87,0,2,79,0,1,1,0,0,7,0,0,0,142,124,2,7,0,0,0,0,0,452,0.5573366214549939
80,88,2,2,75,0,2,0,0,0,0,0,0,0,143,95,2,0,0,2,0,0,0,411,0.517632241813602
81,121,0,4,87,2,3,0,0,1,5,0,0,0,154,148,2,6,0,0,0,0,1,534,0.5717344753747323
82,118,0,2,68,0,2,1,1,1,3,0,0,0,220,138,1,7,0,0,1,0,0,563,0.5995740149094781
83,95,1,2,84,0,1,2,0,0,6,1,0,1,223,197,2,3,0,0,1,0,3,622,0.6201395812562313
84,98,2,2,79,0,1,0,0,0,3,0,0,0,179,134,2,1,1,0,0,0,3,505,0.5667789001122334
85,111,1,2,115,0,1,3,0,0,5,0,0,0,226,181,3,3,0,2,1,0,0,654,0.638671875
86,88,0,4,74,0,1,1,0,0,2,0,0,1,246,161,1,2,0,1,1,0,3,586,0.6240681576144835
87,110,2,1,69,0,1,0,0,0,4,1,0,0,211,167,2,0,0,0,1,1,0,570,0.6063829787234043
88,94,0,2,79,0,0,1,1,1,5,0,0,2,201,115,1,5,0,0,1,0,1,509,0.5790671217292378
89,154,0,2,78,1,0,0,2,1,4,0,0,0,198,104,1,5,0,0,3,1,0,554,0.6183035714285714
90,111,1,2,88,0,1,4,0,3,0,0,0,0,150,89,2,3,0,0,1,3,0,458,0.5134529147982063
91,119,0,3,85,0,1,2,1,0,3,0,0,3,174,111,0,5,0,0,1,0,1,509,0.5391949152542372
92,105,1,4,79,0,0,2,0,0,3,0,0,5,195,181,1,7,0,0,3,2,0,588,0.6540600667408232
93,105,5,4,95,2,0,0,0,0,1,0,0,4,137,87,1,2,0,1,0,0,2,446,0.5978552278820375
94,139,3,4,97,0,3,2,0,0,3,0,0,1,152,102,1,6,0,0,2,0,1,516,0.5720620842572062
95,112,1,1,72,0,0,0,0,0,2,0,0,0,115,107,1,0,0,1,0,0,3,415,0.5503978779840849
96,137,0,2,110,0,1,0,0,1,2,1,0,1,169,116,0,7,0,0,0,0,0,547,0.6125419932810751
97,138,0,1,83,0,0,1,1,0,3,0,0,2,156,118,1,11,0,0,0,0,0,515,0.5905963302752294
98,124,0,3,58,0,2,1,1,0,0,0,0,0,113,76,1,1,0,0,1,0,1,382,0.5276243093922652
99,216,1,4,79,1,2,1,1,1,4,1,0,1,168,100,4,5,0,1,1,1,1,593,0.6715741789354474
100,138,0,2,85,0,1,0,3,1,3,0,0,0,200,158,1,8,0,0,2,0,5,607,0.6200204290091931
101,105,2,6,78,0,0,2,0,0,3,0,0,0,145,101,1,2,0,1,3,0,0,449,0.5251461988304094
102,178,1,1,60,0,0,0,1,1,0,0,0,0,126,184,1,2,0,1,0,0,1,557,0.6469221835075494
103,174,1,1,57,0,2,1,0,1,2,0,0,0,134,116,2,1,0,0,0,0,0,492,0.638961038961039
104,148,0,3,56,0,0,0,0,0,0,0,0,0,149,151,1,6,0,0,0,1,0,515,0.5684326710816777
105,140,1,4,74,0,1,1,0,0,2,0,1,0,107,129,0,2,1,0,1,0,0,464,0.5778331257783312
106,143,1,3,81,0,0,1,0,3,0,0,0,0,92,113,1,1,0,0,3,1,1,444,0.5323741007194245
107,171,1,1,82,0,0,3,1,2,0,1,0,2,146,156,0,1,0,0,4,0,0,571,0.6023206751054853
108,165,2,0,79,0,1,1,0,0,1,1,0,1,124,144,0,0,1,0,1,0,6,527,0.5862068965517241
109,96,2,4,109,1,1,0,0,1,1,0,0,0,92,48,3,7,0,0,0,1,3,369,0.43006993006993005
110,88,2,3,93,0,6,1,1,0,0,0,0,0,102,30,1,1,0,0,0,0,4,332,0.38739789964994165
111,117,2,5,84,0,1,2,0,1,2,0,0,0,104,36,5,2,0,0,0,0,0,361,0.41446613088404133
112,83,2,4,87,0,4,1,0,0,2,0,0,0,120,42,1,1,0,0,0,3,1,351,0.3770139634801289
113,81,1,2,93,0,3,2,0,0,1,0,0,0,87,51,3,4,0,0,0,0,0,328,0.3697857948139797
114,141,0,3,144,2,0,2,0,0,2,0,0,2,146,143,1,2,0,0,0,1,0,589,0.6129032258064516
115,129,3,2,100,0,0,2,0,3,2,6,0,2,125,68,2,4,0,0,0,0,0,448,0.44755244755244755
116,146,1,8,109,2,3,1,0,0,2,0,1,0,105,42,4,9,0,0,1,0,0,434,0.4189189189189189
117,105,0,7,131,0,1,0,1,0,0,1,0,2,97,52,2,5,2,0,2,1,1,410,0.37718491260349585
118,98,2,3,77,0,0,1,2,1,4,0,0,4,102,71,1,6,0,0,2,0,0,374,0.39244491080797483
119,118,1,1,123,0,5,1,0,0,1,0,0,0,104,29,3,3,0,0,0,0,0,389,0.37877312560856863
120,108,0,1,28,0,0,0,0,1,0,0,0,0,144,205,1,1,0,0,8,0,0,497,0.6556728232189973
121,125,0,2,45,0,1,0,0,0,3,0,0,1,138,213,0,3,1,0,0,0,0,532,0.6214953271028038
122,131,0,0,24,0,0,0,0,0,0,0,0,0,124,201,0,0,0,0,0,0,0,480,0.6504065040650406
123,113,0,5,55,0,0,0,0,0,5,0,0,0,170,284,1,4,0,0,0,1,1,639,0.6856223175965666
124,132,1,4,30,1,2,0,1,0,2,0,1,2,195,276,2,2,0,0,0,1,1,653,0.6731958762886598
125,162,1,2,29,0,0,0,0,0,1,0,0,0,139,250,2,1,0,0,1,1,3,592,0.6636771300448431
126,110,0,2,39,0,0,2,0,1,3,0,0,0,156,260,2,1,0,2,1,1,3,583,0.6208732694355698
127,111,0,1,30,0,0,1,1,1,0,0,0,0,145,217,0,2,0,0,0,0,0,509,0.6525641025641026
128,134,0,0,35,0,0,1,0,0,3,0,0,0,197,242,1,1,0,0,1,0,1,616,0.6363636363636364
129,99,0,1,33,0,0,1,1,0,1,1,1,0,153,178,0,0,0,0,2,0,0,471,0.6288384512683578
130,151,0,3,37,0,0,3,0,0,2,1,0,0,169,225,0,2,0,0,2,0,0,595,0.6418554476806904
131,147,0,0,45,0,1,0,0,1,3,0,0,0,172,224,2,3,0,0,0,4,1,603,0.6334033613445378
132,104,0,1,47,0,0,1,0,1,1,0,1,0,129,250,2,0,0,0,1,1,1,540,0.5993340732519423
133,129,0,3,46,0,0,0,1,0,3,1,0,0,185,250,3,2,0,0,1,2,0,626,0.6596417281348789
134,112,2,7,35,3,1,2,0,0,4,0,1,0,192,196,3,4,0,1,0,6,0,569,0.6046758767268863
135,107,4,3,45,0,0,0,0,0,5,0,0,0,146,228,3,3,0,0,2,4,1,551,0.6362586605080831
136,104,0,2,45,0,3,0,0,0,0,0,0,0,154,232,0,2,0,0,0,0,0,542,0.5929978118161926
137,153,0,0,30,0,0,0,0,0,8,0,0,0,142,286,1,0,1,0,0,0,0,621,0.639546858908342
138,134,1,0,50,1,2,0,1,0,0,0,0,1,216,255,1,0,1,0,0,0,0,663,0.669021190716448
139,123,1,3,35,0,0,0,0,0,1,0,0,0,131,205,0,2,0,0,1,1,1,504,0.5550660792951542
