SEZIONE,FRANCESCO LADDAGA,LUIGI AVVEDUTO,TOTALE,AFFLUENZA,MUNICIPIO
984,193,98,291,0.46634615384615385,7
985,304,112,416,0.5265822784810127,7
986,249,125,374,0.4645962732919255,7
987,163,92,255,0.4300168634064081,7
988,308,161,469,0.5165198237885462,7
989,233,115,348,0.45194805194805193,7
990,247,89,336,0.4905109489051095,7
991,255,109,364,0.44938271604938274,7
992,258,113,371,0.479328165374677,7
993,240,110,350,0.5007153075822603,7
994,233,79,312,0.5435540069686411,7
995,285,160,445,0.5126728110599078,7
996,286,131,417,0.546526867627785,7
997,334,101,435,0.5190930787589498,7
998,305,137,442,0.5045662100456622,7
999,239,98,337,0.4985207100591716,7
1000,230,73,303,0.5126903553299492,7
1001,211,71,282,0.501779359430605,7
1002,301,160,461,0.5705445544554455,7
1003,300,136,436,0.5034642032332564,7
1004,317,152,469,0.5719512195121951,7
1005,219,103,322,0.5168539325842697,7
1006,242,86,328,0.5568760611205433,7
1007,277,131,408,0.5666666666666667,7
1008,348,128,476,0.44863336475023563,7
1010,369,191,560,0.5100182149362478,7
1012,317,215,532,0.49953051643192486,7
1013,326,194,520,0.46973803071364045,7
1014,215,92,307,0.5142378559463987,7
1015,169,107,276,0.47586206896551725,7
1016,143,69,212,0.507177033492823,7
1017,264,169,433,0.5118203309692672,7
1018,247,141,388,0.5012919896640827,7
1019,246,150,396,0.474251497005988,7
1020,202,157,359,0.42840095465393796,7
1021,253,132,385,0.5563583815028902,7
1022,315,119,434,0.5695538057742782,7
1024,234,149,383,0.42041712403951703,7
1025,209,136,345,0.4328732747804266,7
1026,128,86,214,0.38838475499092556,7
1027,265,98,363,0.4384057971014493,7
1028,141,101,242,0.34375,7
1029,180,117,297,0.36666666666666664,7
1030,169,100,269,0.3225419664268585,7
1031,234,40,274,0.3325242718446602,7
1032,151,82,233,0.3157181571815718,7
1033,170,101,271,0.35894039735099337,7
1034,154,96,250,0.37537537537537535,7
1035,146,92,238,0.3801916932907348,7
1036,167,82,249,0.3557142857142857,7
1037,204,76,280,0.38620689655172413,7
1038,168,101,269,0.3654891304347826,7
1039,124,72,196,0.3141025641025641,7
1040,198,116,314,0.3742550655542312,7
1041,178,112,290,0.4309063893016345,7
1043,179,83,262,0.3981762917933131,7
